Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
2690.0	2280	410.0	39.0	36	3.0	5.0	5	0.0	11	0	11	0	0	0	11	0	11	5	0	5	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3900	3835	475.0	16	0	19.0	5.0	5	0.0	3	0	14	0	0	0	3	0	14	2	0	7	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3480	1835	2120.0	10	0	29.0	5.0	5	0.0	1	0	15	0	0	0	1	0	15	1	0	8	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4500	5570	1050.0	9	33	5.0	5.0	5	0.0	3	0	18	0	0	0	3	0	18	1	0	9	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2600	0	3650.0	5	0	10.0	5.0	5	0.0	0	0	18	0	0	0	0	0	18	0	0	9	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6720	9415	955.0	20	20	10.0	5.0	5	0.0	9	0	27	1	0	1	9	0	27	5	0	14	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7740	5187	3508.0	12	0	22.0	5.0	5	0.0	3	0	30	0	0	1	3	0	30	2	0	16	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7900	8328	3080.0	17	22	17.0	5.0	5	0.0	3	0	33	0	0	1	3	0	33	1	0	17	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9460	4829	7711.0	10	0	27.0	5.0	5	0.0	1	0	34	0	0	1	1	0	34	1	0	18	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11960	18248	1423.0	9	0	36.0	5.0	5	0.0	2	0	36	0	0	1	2	0	36	1	0	19	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6700	0	8123.0	5	0	41.0	5.0	5	0.0	0	0	36	0	0	1	0	0	36	0	0	19	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10020	17298	845.0	11	42	10.0	5.0	5	0.0	4	0	40	1	0	2	4	0	40	2	0	21	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11760	9556	3049.0	25	30	5.0	5.0	5	0.0	6	0	46	0	0	2	6	0	46	3	0	24	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12600	10048	5601.0	9	0	14.0	5.0	5	0.0	2	0	48	0	0	2	2	0	48	1	0	25	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26120	17898	13823.0	28	21	21.0	5.0	5	0.0	3	0	51	0	0	2	3	0	51	2	0	27	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11500	16099	9224.0	5	0	26.0	5.0	5	0.0	1	0	52	0	0	2	1	0	52	0	0	27	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24120	16099	17245.0	10	0	36.0	5.0	5	0.0	1	0	53	0	0	2	1	0	53	1	0	28	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29220	28659	17806.0	10	0	46.0	5.0	5	0.0	1	0	54	0	0	2	1	0	54	1	0	29	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17400	31509	3697.0	5	0	51.0	5.0	5	0.0	1	0	55	0	0	2	1	0	55	0	0	29	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
