Soft Currency	Hard Currency	Heart	Food	Worlds	Upgrade	Level	Videos	Skill level	IAPs	IAP spend $	Additional SC	Get Heart Video	Double Reward Videos	Gacha Wheel Videos	Get Gems Videos
1786.753828107433	13.826508952998884	0.0	11.0	0.0	11.0	5.56	1.44	0.10031011974692408	0.0	0.0	0.0	0.04	0.16	0.66	0.58
2797.963216303085	23.872313738657976	0.0	16.3	0.06	16.3	8.46	2.58	0.10116518422724866	0.08	0.37920000000000004	0.0	0.08	0.48	1.1	0.92
2763.537349717153	26.227110231087998	0.0	21.56	0.36	21.56	11.2	3.62	0.10300160545770495	0.14	0.8786000000000002	0.0	0.16	0.7	1.56	1.2
3831.154362864665	18.54277405506177	0.0	26.64	0.7	26.64	13.94	4.78	0.10471672025858844	0.2	1.058	0.0	0.24	1.08	1.84	1.62
4537.46470960792	19.903780869384633	0.0	30.44	0.86	30.44	15.92	5.6	0.10635605054319645	0.26	1.3973999999999998	0.0	0.28	1.28	2.04	2.0
4964.3936412317935	20.73407268333228	0.0	34.52	1.08	34.52	18.12	6.36	0.10828532290840462	0.28	1.4371999999999998	0.0	0.32	1.38	2.28	2.38
6728.925217834801	27.490284740278575	0.0	36.38	1.12	36.38	19.04	7.22	0.11074278856003829	0.36	1.8763999999999998	0.0	0.34	1.62	2.6	2.66
8521.615979333861	33.13504422547808	0.0	38.5	1.24	38.5	20.2	8.06	0.11353579948348813	0.4	2.1159999999999997	0.0	0.34	1.88	2.92	2.92
10416.922983807777	36.517788458429514	0.0	40.82	1.32	40.82	21.34	8.94	0.11676425475418067	0.42	2.2157999999999998	0.0	0.4	2.16	3.1	3.28
12914.447101021831	31.137956051509395	0.0	44.62	1.62	44.62	23.36	9.86	0.12059852961533023	0.46	2.3553999999999995	0.0	0.48	2.4	3.42	3.56
16018.525478432894	26.673089964942115	0.0	49.32	1.92	49.32	25.94	10.98	0.12345181922231696	0.52	2.5347999999999997	0.04	0.56	2.6	3.84	3.98
18233.29703289734	28.77644575758488	0.0	51.72	2.0	51.72	27.22	11.88	0.12605429575389787	0.58	2.9741999999999997	0.06	0.62	2.86	4.16	4.24
17496.662272302885	32.99013062777439	0.0	53.48	2.04	53.48	28.18	12.58	0.128661336410572	0.62	3.3738000000000006	0.08	0.62	3.02	4.4	4.54
21558.367892603444	35.0124799300292	0.0	54.64	2.14	54.64	28.92	13.24	0.13191605423957098	0.64	3.4136000000000006	0.1	0.68	3.16	4.62	4.78
15517.204228348182	36.458155314940115	0.0	56.48	2.3	56.48	29.8	14.32	0.13528435719243836	0.7	3.6930000000000005	0.1	0.74	3.36	5.06	5.16
16712.66800137942	37.91478036405378	0.0	57.86	2.46	57.86	30.52	15.34	0.13869752256657086	0.72	3.792800000000001	0.1	0.78	3.7	5.34	5.52
18150.236052038013	39.44942049820882	0.0	59.54	2.56	59.54	31.32	16.26	0.1422729157374164	0.76	4.032400000000001	0.12	0.82	4.02	5.66	5.76
23058.6041584664	32.700400713279045	0.0	61.6	2.68	61.6	32.32	17.32	0.14597822580173536	0.78	4.132200000000001	0.16	0.88	4.26	6.02	6.16
20765.953834884505	28.11105821737254	0.0	64.22	2.9	64.22	33.76	18.26	0.14944697623568076	0.8	4.232000000000001	0.16	0.96	4.5	6.34	6.46
25126.95285153844	23.082473579487058	0.0	66.38	2.98	66.38	34.94	19.08	0.15264650855163547	0.84	4.4716000000000005	0.16	0.98	4.76	6.64	6.7
30386.544573080886	28.80134025963025	0.0	67.32	2.98	67.32	35.38	19.84	0.15584294487029735	0.86	4.5114	0.16	0.98	5.04	6.88	6.94
36430.93434063555	32.62752144977199	0.0	68.62	3.0	68.62	36.06	20.68	0.15957447238333008	0.92	4.750800000000001	0.18	1.0	5.28	7.12	7.28
