Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
4698.538329226971	3130	1568.5383292269712	47.14462037794192	36	11.144620377941905	10.0	10	0.0	12	0	12	0	0	0	12	0	12	6	0	6	0	0	0	0.10030102999566398	0.0	0.10030102999566398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9059.101329849333	7780	2847.6396590763043	25.510549900665836	33	3.655170278607744	10.0	10	0.0	5	0	17	0	0	0	5	0	17	3	0	9	0	0	0	0.0016812412373755873	0.0	0.10198227123303956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6669.4334801215655	9189	328.07313919786964	15.135198164113378	0	18.79036844272112	10.0	10	0.0	4	0	21	1	0	1	4	0	21	2	0	11	0	0	0	0.004543968765693562	0.0	0.1065262399987331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15913.01434571668	11522	4719.087484914551	37.235190571322	42	14.025559014043123	10.0	10	0.0	11	0	32	0	0	1	11	0	32	6	0	17	0	0	0	0.0018061799739838872	0.0	0.10833241997271698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13655.769234135067	9658	8716.856719049618	14.55216072649717	0	28.577719740540292	10.0	10	0.0	2	0	34	0	0	1	2	0	34	1	0	18	0	0	0	0.005395906230238125	0.0	0.11372832620295513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17753.1301845306	18248	8221.98690358022	13.316127918951269	0	41.89384765949157	10.0	10	0.0	2	0	36	0	0	1	2	0	36	1	0	19	0	0	0	0.0030614524790871928	0	0.11678977868204234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12852.4892685038	18447	2627.476172084017	15.796685108403446	54	3.690532767895019	10.0	10	0.0	6	0	42	1	0	2	6	0	42	3	0	22	0	0	0	0.006043723712126762	0	0.12283350239416911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23871.04778677321	18455	8043.523958857231	31.252932058112734	18	16.943464826007745	10.0	10	0.0	6	0	48	0	0	2	6	0	48	3	0	25	0	0	0	0.0012041199826559248	0.0	0.12403762237682503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36838.31020195277	33997	10884.834160810005	32.25167885285687	21	28.195143678864607	10.0	10	0.0	4	0	52	0	0	2	4	0	52	2	0	27	0	0	0	0.0018750612633917	0.0	0.12591268364021674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51976.487642377324	44758	18103.321803187326	19.525952351150487	0	47.72109603001509	10.0	10	0.0	2	0	54	0	0	2	2	0	54	2	0	29	0	0	0	0.003535294120042771	0.0	0.1294479777602595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31708.065789473694	31509	18302.387592661013	9.111513157894738	0	56.83260918790983	10.0	10	0.0	1	0	55	0	0	2	1	0	55	0	0	29	0	0	0	0.004089481202687436	0.0	0.1335374589629469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34930.50050607287	49289	3943.8880987338857	13.231363866396762	59	11.063973054306599	10.0	10	0.0	3	0	58	1	0	3	3	0	58	2	0	31	0	0	0	0.004309885559660194	0.0	0.13784734452260705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6092.763157894736	5569	4467.651256628621	7.253289473684211	0	18.31726252799081	10.0	10	0.0	1	0	59	0	0	3	1	0	59	0	0	31	0	0	0	0.0009030899869919436	0.0	0.13875043450959898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34808.157665825966	26447	12828.808922454587	18.61779043202761	19	17.935052960018417	10.0	10	0.0	4	0	63	0	0	3	4	0	63	3	0	34	0	0	0	0.0034082399653118495	0.0	0.1421586744749108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43355.84477173761	24298	31886.653694192195	13.993047161378676	20	11.928100121397096	10.0	10	0.0	3	0	66	0	0	3	3	0	66	1	0	35	0	0	0	0.004390511198351418	0.0	0.14654918567326214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54634.28973615943	62198	24322.943430351625	13.50449822764088	0	25.43259834903798	10.0	10	0.0	2	0	68	0	0	3	2	0	68	1	0	36	0	0	0	0.008627948894622957	0	0.15517713456788504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72515.22924702869	42299	54539.17267738031	33.08475904169041	27	31.517357390728396	10.0	10	0.0	2	0	70	0	0	3	2	0	70	1	0	37	0	0	0	0.008055153173907545	0	0.16323228774179252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56140.32228861126	74689	35990.49496599157	9.388013760637335	0	40.905371151365735	10.0	10	0.0	1	0	71	0	0	3	1	0	71	0	0	37	0	0	0	0.010263576233597187	0	0.17349586397538969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91687.22469014762	74689	52988.71965613919	14.645407704481144	0	55.550778855846886	10.0	10	0.0	1	0	72	0	0	3	1	0	72	1	0	38	0	0	0	0.012040845681881122	0	0.18553670965727082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71455.78345662408	0	124444.50311276328	9.656186953597848	0	65.20696580944472	10.0	10	0.0	0	0	72	0	0	3	0	0	72	0	0	38	0	0	0	0.00838389700566914	0	0.19392060666293995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116180.25114061116	126099	114525.75425337443	12.915556860420095	0	78.12252266986484	10.0	10	0.0	1	0	73	0	0	3	1	0	73	1	0	39	0	0	0	0.0072234190954512684	0	0.20114402575839124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82709.69133192388	149869	47366.44558529834	9.129105003523607	0	87.25162767338846	10.0	10	0.0	1	0	74	0	0	3	1	0	74	0	0	39	0	0	0	0.01145334796281387	0	0.21259737372120507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86673.36152219873	0	134039.80710749706	9.566596194503171	92	4.818223867891636	10.0	10	0.0	1	0	75	0	0	3	1	0	75	0	0	39	0	0	0	0.014318337739525167	0	0.2269157114607303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75418.5697154542	199169	10289.376822951255	12.475534517585604	0	17.293758385477236	10.0	10	0.0	2	0	77	1	0	4	2	0	77	2	0	41	0	0	0	0.006072881940867976	0.0	0.23298859340159825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13003.026481715006	0	23292.403304666263	5.91046658259773	0	23.204224968074968	10.0	10	0.0	0	0	77	0	0	4	0	0	77	0	0	41	0	0	0	0.009786311386718207	0	0.24277490478831643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13527.364438839848	34399	2420.7677435061105	6.148802017654478	0	29.353026985729443	10.0	10	0.0	1	0	78	0	0	4	1	0	78	0	0	41	0	0	0	0.01332228307366505	0	0.25609718786198143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18066.07818411097	0	20486.845927617083	8.211853720050442	0	37.56488070577988	10.0	10	0.0	0	0	78	0	0	4	0	0	78	0	0	41	0	0	0	0.015003413733245125	0	0.27110060159522653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31950.67216235553	34399	18038.518089972615	10.36168791314469	41	6.926568618924559	10.0	10	0.0	2	0	80	0	0	4	2	0	80	1	0	42	0	0	0	0.015165347323151843	0	0.2862659489183785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32351.054078826768	0	50389.57216879938	8.936755270394134	0	15.863323889318695	10.0	10	0.0	0	0	80	0	0	4	0	0	80	0	0	42	0	0	0	0.010657142216449873	0	0.29692309113482834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63190.71631701358	55199	58381.28848581296	13.072205091721601	0	28.935528981040296	10.0	10	0.0	1	0	81	0	0	4	1	0	81	1	0	43	0	0	0	0.01138833700706899	0	0.3083114281418973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87360.79999999999	118648	27094.088485812958	13.36	0	42.29552898104029	10.0	10	0.0	2	0	83	0	0	4	2	0	83	1	0	44	0	0	0	0.009784968898842693	0	0.31809639704074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112.71182007882	64209	74997.8003058918	14.250019939717134	42	14.545548920757422	10.0	10	0.0	2	0	85	0	0	4	2	0	85	1	0	45	0	0	0	0.012385614837415022	0	0.3304820118781549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85910.86019012288	0	160908.66049601467	8.930442847206121	0	23.47599176796354	10.0	10	0.0	0	0	85	0	0	4	0	0	85	0	0	45	0	0	0	0.013343922077871485	0	0.34382593395602634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90472.1632274519	181739	69641.82372346654	9.404590772084397	0	32.88058254004793	10.0	10	0.0	1	0	86	0	0	4	1	0	86	0	0	45	0	0	0	0.0166129916039943	0	0.3604389255600208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92633.48481335497	0	162275.30853682154	9.629260375608624	0	42.50984291565656	10.0	10	0.0	0	0	86	0	0	4	0	0	86	0	0	45	0	0	0	0.018675127646062925	0	0.37911405320608377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153538.89128896093	181739	134075.19982578247	13.175796555836593	0	55.685639471493154	10.0	10	0.0	1	0	87	0	0	4	1	0	87	1	0	46	0	0	0	0.014449525884921396	0	0.39356357909100526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181405.20130857936	220859	94621.40113436176	38.23903527882931	57	36.92467475032246	10.0	10	0.0	2	0	89	0	0	4	2	0	89	1	0	47	0	0	0	0.013369875327724703	0	0.40693345441872997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139620.93755405638	0	234242.33868841818	8.996194430029407	0	45.92086918035186	10.0	10	0.0	0	0	89	0	0	4	0	0	89	0	0	47	0	0	0	0.010929412967766255	0	0.4178628673864963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139994.10482615462	0	374236.4435145728	9.020238713025428	0	54.941107893377286	10.0	10	0.0	0	0	89	0	0	4	0	0	89	0	0	47	0	0	0	0.014063624863801229	0	0.4319264922502974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143728.46220377096	449889	68075.9057183437	9.260854523438853	0	64.20196241681613	10.0	10	0.0	1	0	90	0	0	4	1	0	90	0	0	47	0	0	0	0.016946130458942606	0	0.44887262270923994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149959.55025082166	0	218035.45596916537	9.662342155336447	0	73.86430457215258	10.0	10	0.0	0	0	90	0	0	4	0	0	90	0	0	47	0	0	0	0.018189985855137897	0	0.46706260856437787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
