Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
1670.11740380781	1380	290.1174038078099	30.27205234671491	20	10.272052346714911	5.0	5	0.0	8	0	8	0	0	0	8	0	8	4	0	4	0	0	0	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4564.258974353075	3130	1724.3763781608843	23.7439289051801	16	18.015981251895013	5.0	5	0.0	5	0	13	0	0	0	5	0	13	3	0	7	0	0	0	0.0003010299956639812	0.0	0.10030102999566398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1645.9059304703478	1605	1765.2823086312321	4.840899795501023	0	22.856881047396037	5.0	5	0.0	1	0	14	0	0	0	1	0	14	0	0	7	0	0	0	0.0018061799739838872	0	0.10210720996964785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5820.614795478811	4795	2790.8971041100435	13.777022218772832	33	3.6339032661688675	5.0	5	0.0	3	0	17	0	0	0	3	0	17	2	0	9	0	0	0	0.0028573324964312687	0	0.10496454246607911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2460.5420827389444	2610	2641.439186848988	4.7318116975748925	0	8.36571496374376	5.0	5	0.0	1	0	18	0	0	0	1	0	18	0	0	9	0	0	0	0.0009030899869919436	0	0.10586763245307104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7828.289706541148	9415	1054.7288933901355	19.744204820448523	20	8.109919784192279	5.0	5	0.0	9	0	27	1	0	1	9	0	27	5	0	14	0	0	0	0.0039822712330395684	0.0	0.1098499036861106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4648.114387846291	3068	2634.8432812364263	7.728775692582663	0	15.83869547677494	5.0	5	0.0	2	0	29	0	0	1	2	0	29	1	0	15	0	0	0	0.004	0	0.11384990368611063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9951.584946077448	10447	2139.4282273138733	20.72521253694955	22	14.563908013724483	5.0	5	0.0	4	0	33	0	0	1	4	0	33	2	0	17	0	0	0	0.0006989700043360189	0	0.11454887369044665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8838.547230692106	4829	6148.975458005978	9.803719059924266	0	24.367627073648748	5.0	5	0.0	1	0	34	0	0	1	1	0	34	1	0	18	0	0	0	0.0009542425094393248	0.0	0.11550311619988597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11063.09488825183	8799	8413.07034625781	8.669270951042334	0	33.036898024691084	5.0	5	0.0	1	0	35	0	0	1	1	0	35	1	0	19	0	0	0	0.001681241237375587	0.0	0.11718435743726154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6248.067368421052	9449	5212.137714678862	4.662736842105263	0	37.69963486679635	5.0	5	0.0	1	0	36	0	0	1	1	0	36	0	0	19	0	0	0	0.0034874212113594747	0	0.12067177864862103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6337.776842105264	9449	2100.9145567841256	4.729684210526316	0	42.429319077322674	5.0	5	0.0	1	0	37	0	0	1	1	0	37	0	0	19	0	0	0	0.0047092699609758305	0	0.12538104860959684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11357.142857142857	11677	1781.0574139269831	12.365079365079366	42	12.79439844240204	5.0	5	0.0	5	0	42	1	0	2	5	0	42	3	0	22	0	0	0	0.00201703333929878	0.0	0.1273980819488956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18425.73184045059	15776	4430.789254377576	26.697346316051643	30	9.491744758453684	5.0	5	0.0	6	0	48	0	0	2	6	0	48	3	0	25	0	0	0	0.0019822712330395684	0.0	0.12938035318193514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14862.990852743433	7019	12274.780107121007	8.577698475690594	0	18.069443234144277	5.0	5	0.0	1	0	49	0	0	2	1	0	49	1	0	26	0	0	0	0.0021461280356782383	0.0	0.13152648121761337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18535.082795382936	26978	3831.862902503941	23.832865347301556	21	20.90230858144583	5.0	5	0.0	3	0	52	0	0	2	3	0	52	1	0	27	0	0	0	0.0009542425094393248	0.0	0.1324807237270527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11012.767475035664	0	14844.6303775396	4.788159771754636	0	25.690468353200462	5.0	5	0.0	0	0	52	0	0	2	0	0	52	0	0	27	0	0	0	0.0012041199826559248	0.0	0.1336848437097086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24828.202903415284	16099	23573.83328095489	9.851685521829014	0	35.54215387502948	5.0	5	0.0	1	0	53	0	0	2	1	0	53	1	0	28	0	0	0	0.002459392487759231	0.0	0.1361442361974678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28978.936687306505	28659	23893.769968261397	9.560230439065577	0	45.102384314095055	5.0	5	0.0	1	0	54	0	0	2	1	0	54	1	0	29	0	0	0	0.0018061799739838872	0	0.13795041617145165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15829.42105263158	31509	8214.191020892973	4.548684210526315	0	49.65106852462137	5.0	5	0.0	1	0	55	0	0	2	1	0	55	0	0	29	0	0	0	0.0029365137424788934	0	0.1408869299139305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16467.03947368421	0	24681.230494577183	4.7319078947368425	0	54.382976419358215	5.0	5	0.0	0	0	55	0	0	2	0	0	55	0	0	29	0	0	0	0.0046689075023018615	0	0.14555583741623235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16649.625	31509	9821.855494577185	4.784375	0	59.167351419358226	5.0	5	0.0	1	0	56	0	0	2	1	0	56	0	0	29	0	0	0	0.005684701769485093	0	0.15124053918571742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29227.826086956524	28918	10131.681581533707	12.091304347826087	59	12.258655767184313	5.0	5	0.0	4	0	60	1	0	3	4	0	60	3	0	32	0	0	0	0.0032764618041732445	0	0.15451700098989066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6527.5	9799	6860.181581533706	4.6625	0	16.921155767184317	5.0	5	0.0	1	0	61	0	0	3	1	0	61	0	0	32	0	0	0	0.0048907562519182185	0	0.15940775724180886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26194.712439418417	23228	9826.894020952124	12.586954765751212	19	10.50811053293553	5.0	5	0.0	3	0	64	0	0	3	3	0	64	2	0	34	0	0	0	0.005696936225902106	0	0.1651046934677109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13269.03392568659	12149	10946.927946638714	4.705331179321486	0	15.21344171225702	5.0	5	0.0	1	0	65	0	0	3	1	0	65	0	0	34	0	0	0	0.004140633725134818	0	0.1692453271928457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13433.951534733438	0	24380.879481372154	4.763812600969305	0	19.97725431322632	5.0	5	0.0	0	0	65	0	0	3	0	0	65	0	0	34	0	0	0	0.004720060024749243	0	0.17396538721759494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30929.723887390006	31099	24211.60336876216	9.77488498724814	20	9.75213930047446	5.0	5	0.0	2	0	67	0	0	3	2	0	67	1	0	35	0	0	0	0.00290848501887865	0.0	0.17687387223647358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38281.36948021801	31099	31393.97284898017	8.578067853520183	0	18.330207153994643	5.0	5	0.0	1	0	68	0	0	3	1	0	68	1	0	36	0	0	0	0.0026989700043360196	0.0	0.1795728422408096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22048.270481144344	42299	11143.243330124522	4.631989596879063	0	22.962196750873705	5.0	5	0.0	1	0	69	0	0	3	1	0	69	0	0	36	0	0	0	0.0029365137424788934	0	0.18250935598328846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22902.470741222365	0	34045.71407134689	4.8114434330299085	0	27.773640183903606	5.0	5	0.0	0	0	69	0	0	3	0	0	69	0	0	36	0	0	0	0.004771212547196624	0	0.18728056853048505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51212.934999094694	74689	10569.649070441592	28.584102842657973	27	29.35774302656158	5.0	5	0.0	2	0	71	0	0	3	2	0	71	1	0	37	0	0	0	0.00436608659902	0	0.19164665512950504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28868.144124569983	0	39437.79319501157	4.827448850262538	0	34.185191876824106	5.0	5	0.0	0	0	71	0	0	3	0	0	71	0	0	37	0	0	0	0.005881982327610712	0	0.1975286374571157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28653.76063733478	0	68091.55383234634	4.7915987687850805	0	38.97679064560918	5.0	5	0.0	0	0	71	0	0	3	0	0	71	0	0	37	0	0	0	0.006369082207776251	0	0.20389771966489195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62803.48487543867	74689	56206.03870778502	9.815191189841197	0	48.79198183545037	5.0	5	0.0	1	0	72	0	0	3	1	0	72	1	0	38	0	0	0	0.0049594230219431054	0.0	0.20885714268683506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35866.61062542031	0	92072.64933320534	4.846839273705447	0	53.63882110915581	5.0	5	0.0	0	0	72	0	0	3	0	0	72	0	0	38	0	0	0	0.004074816440645175	0	0.21293195912748022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35682.4815063887	0	127755.13083959404	4.821956960322797	0	58.460778069478614	5.0	5	0.0	0	0	72	0	0	3	0	0	72	0	0	38	0	0	0	0.0056558680512486205	0	0.21858782717872885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
