Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
4076.008742728496	3130	946.0087427284959	43.67782695282672	36	7.677826952826717	6	6	0	12	0	12	0	0	0	12	0	12	6	0	6	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8990.198733138106	7780	2156.207475866604	24.54251650779841	0	32.22034346062513	9	9	0	4	0	16	0	0	0	4	0	16	3	0	9	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13901.754421708058	13562	2495.9618975746644	31.138869441569714	53	10.35921290219484	10	10	0	13	0	29	1	0	1	13	0	29	7	0	16	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19997.37296425789	13157	9336.334861832556	27.484756002371295	22	15.843968904566136	7	7	0	4	0	33	0	0	1	4	0	33	3	0	19	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9993.296842105263	8799	10530.63170393782	7.457684210526316	0	23.301653115092446	8	8	0	1	0	34	0	0	1	1	0	34	0	0	19	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9312.858947368422	9449	10394.490651306241	6.949894736842105	0	30.25154785193455	7	7	0	1	0	35	0	0	1	1	0	35	0	0	19	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25731.25783899004	29883	6242.748490296281	36.546628248658365	51	15.798176100592919	7	7	0	11	0	46	1	0	2	11	0	46	6	0	25	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15844.689723972147	14038	8049.438214268428	8.911548400477097	0	24.709724501070017	5	5	0	2	0	48	0	0	2	2	0	48	1	0	26	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19320.374296707298	10879	16490.812510975724	23.793177744520104	0	48.502902245590136	5	5	0	1	0	49	0	0	2	1	0	49	1	0	27	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47147.15371517028	32198	31439.966226146003	16.473183577258656	59	5.976085822848793	7	7	0	3	0	52	0	0	2	3	0	52	2	0	29	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19849.736842105263	28659	22630.703068251267	5.703947368421053	0	11.680033191269848	6	6	0	1	0	53	0	0	2	1	0	53	0	0	29	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30779.144736842103	49289	4120.84780509337	10.70230263157895	0	22.382335822848795	6	6	0	2	0	55	1	0	3	2	0	55	2	0	31	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5160.1973684210525	5569	3712.045173514424	6.1430921052631575	0	28.525427928111956	8	8	0	1	0	56	0	0	3	1	0	56	0	0	31	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12884.204805491989	5569	11027.249979006414	9.233266590389018	19	18.758694518500977	8	8	0	2	0	58	0	0	3	2	0	58	1	0	32	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59260.81066376282	45176	25112.06064276923	22.601351229074833	20	21.360045747575807	10	10	0	5	0	63	0	0	3	5	0	63	3	0	35	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53912.78620134264	62198	16826.846844111864	12.73577921092064	27	7.095824958496434	9	9	0	3	0	66	0	0	3	3	0	66	1	0	36	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27755.318595578672	0	44582.165439690536	5.830949284785436	0	12.926774243281873	6	6	0	0	0	66	0	0	3	0	0	66	0	0	36	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68331.13163135976	42299	70614.2970710503	31.44667753032772	0	44.37345177360962	8	8	0	1	0	67	0	0	3	1	0	67	1	0	37	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41342.44794495744	74689	37267.74501600775	6.913452833604924	0	51.28690460721454	7	7	0	1	0	68	0	0	3	1	0	68	0	0	37	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116600.55075469523	74689	79179.29577070299	16.85850904482083	0	68.14541365203536	8	8	0	1	0	69	0	0	3	1	0	69	2	0	39	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64353.45454545455	126099	17433.7503161575	7.103030303030303	0	75.24844395506565	8	8	0	1	0	70	0	0	3	1	0	70	0	0	39	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74621.45454545456	0	92055.20486161206	8.236363636363636	0	83.48480759142934	9	9	0	0	0	70	0	0	3	0	0	70	0	0	39	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84537.01479915435	149869	26723.219660766452	9.330796335447499	0	92.8156039268769	10	10	0	1	0	71	0	0	3	1	0	71	0	0	39	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62592.81210592685	83699	5617.031766693303	11.587641866330394	92	12.403245793207297	8	8	0	3	0	74	1	0	4	3	0	74	2	0	41	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18643.12736443884	0	24260.159131132143	8.474148802017655	0	20.87739459522495	10	10	0	0	0	74	0	0	4	0	0	74	0	0	41	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31373.575777050104	34399	21234.734908182243	9.622527778002528	0	30.499922373227466	9	9	0	1	0	75	0	0	4	1	0	75	1	0	42	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30625.664527956	0	51860.399436138265	8.460128322639779	0	38.96005069586727	10	10	0	0	0	75	0	0	4	0	0	75	0	0	42	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42721.67215344108	54439	40143.07158957935	9.526811877523516	41	7.48686257339079	6	6	0	2	0	77	0	0	4	2	0	77	1	0	43	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
