Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
5141.576734128279	4174.4	967.1767341282778	39.35622940752202	26.24	13.116229407521976	5.08	5.08	0.0	10.56	0.0	10.56	0.0	0.0	0.0	10.56	0.0	10.56	5.3	0.0	5.3	1.43	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.25	0.0	0.25	0.47	0.0	0.47	0.66	0.0	0.66
5616.362395952935	4112.4	2471.1391300812147	18.279213402148933	9.76	21.63544280967093	5.1	5.1	0.0	3.9	0.0	14.46	0.0	0.0	0.0	3.9	0.0	14.46	2.18	0.0	7.48	1.11	0.0	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.12	0.26	0.0	0.51	0.38	0.0	0.85	0.4	0.0	1.06
6388.684259417712	6069.06	2790.763389498927	13.77853363492262	13.46	21.95397644459355	5.05	5.05	0.0	4.09	0.0	18.55	0.2	0.0	0.2	4.09	0.0	18.55	1.98	0.0	9.46	0.84	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.16	0.22	0.0	0.73	0.25	0.0	1.1	0.33	0.0	1.39
9030.853660730145	8861.35	2960.2670502290734	16.989533581203965	29.51	9.433510025797501	5.02	5.02	0.0	5.44	0.0	23.99	0.33	0.0	0.53	5.44	0.0	23.99	2.98	0.0	12.44	0.81	0.0	4.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.18	0.21	0.0	0.94	0.28	0.0	1.38	0.3	0.0	1.69
9518.630041397482	8638.74	3840.157091626557	14.39639532947792	11.67	12.15990535527542	5.03	5.03	0.0	4.25	0.0	28.24	0.23	0.0	0.76	4.25	0.0	28.24	2.23	0.0	14.67	0.93	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.2	0.19	0.0	1.13	0.42	0.0	1.8	0.3	0.0	1.99
10609.912388158997	9578.85	4871.219479785549	14.922788032812234	9.72	17.362693388087663	5.07	5.07	0.0	3.7	0.0	31.94	0.24	0.0	1.0	3.7	0.0	31.94	2.06	0.0	16.73	1.24	0.0	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.27	0.27	0.0	1.4	0.41	0.0	2.21	0.49	0.0	2.48
10469.333708671451	8115.92	7224.633188456998	12.364285247143753	8.22	21.5069786352314	5.1	5.1	0.0	2.43	0.0	34.37	0.0	0.0	1.0	2.43	0.0	34.37	1.24	0.0	17.97	1.0	0.0	7.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.34	0.25	0.0	1.65	0.35	0.0	2.56	0.33	0.0	2.81
10225.35009422277	7746.11	9703.873282679775	9.87275154537013	2.42	28.95973018060152	5.07	5.07	0.0	1.3	0.0	35.67	0.0	0.0	1.0	1.3	0.0	35.67	0.66	0.0	18.63	1.01	0.0	8.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.41	0.26	0.0	1.91	0.36	0.0	2.92	0.32	0.0	3.13
9904.935759976868	7242.93	12365.87904265665	7.548257189429421	2.16	34.34798737003096	5.07	5.07	0.0	1.09	0.0	36.76	0.03	0.0	1.03	1.09	0.0	36.76	0.46	0.0	19.09	0.84	0.0	9.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.48	0.33	0.0	2.24	0.24	0.0	3.16	0.2	0.0	3.33
14502.691970166807	11419.68	15448.891012823451	13.109354481653995	18.99	28.467341851684946	5.05	5.05	0.0	2.95	0.0	39.71	0.23	0.0	1.26	2.95	0.0	39.71	1.49	0.0	20.58	1.03	0.0	10.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.53	0.33	0.0	2.57	0.34	0.0	3.5	0.31	0.0	3.64
