Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
135583.1452631579	68976	66607.1452631579	150.6665263157895	111	39.66652631578947	6.0	6	0.0	37	0	37	1	0	1	37	0	37	19	0	19	57	0	57	0	0.0	0.0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	6	25	0	25	25	0	25
153671.23473684213	169226	51052.38000000001	101.54376315789472	93	48.210289473684206	7.0	7	0.0	19	0	56	1	0	2	19	0	56	10	0	29	42	0	99	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	2	7	0	13	17	0	42	17	0	42
164659.77696867703	178591	37121.156968677045	60.67655439698968	98	10.886843870673893	7.0	7	0.0	13	0	69	1	0	3	13	0	69	7	0	36	36	0	135	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	3	7	0	20	14	0	56	14	0	56
115824.51809633058	74689	78256.67506500763	48.52449091598746	27	32.41133478666135	6.0	6	0.0	2	0	71	0	0	3	2	0	71	1	0	37	21	0	156	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	4	6	0	26	7	0	63	7	0	63
135206.523201076	74689	138774.19826608364	24.527908540685942	0	56.939243327347306	6.0	6	0.0	1	0	72	0	0	3	1	0	72	1	0	38	21	0	177	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	5	6	0	32	7	0	70	7	0	70
150164.40591966175	126099	162839.60418574538	25.55898520084567	0	82.49822852819294	6.0	6	0.0	1	0	73	0	0	3	1	0	73	1	0	39	21	0	198	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	6	6	0	38	7	0	77	7	0	77
135419.46723044396	149869	148390.07141618934	26.291331923890063	92	16.78956045208303	7.0	7	0.0	2	0	75	0	0	3	2	0	75	0	0	39	22	0	220	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	7	7	0	45	7	0	84	7	0	84
109703.71766700703	233568	24525.78908319636	28.617918947236518	0	45.40747939931955	6.0	6	0.0	3	0	78	1	0	4	3	0	78	2	0	41	23	0	243	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	8	6	0	51	8	0	92	8	0	92
66284.1250723852	34399	56410.91415558157	23.33458897340732	41	27.74206837272687	6.0	6	0.0	2	0	80	0	0	4	2	0	80	1	0	42	21	0	264	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	9	6	0	57	7	0	99	7	0	99
145266.459644187	173847	27830.37379976859	32.86441125362019	42	18.606479626347067	6.0	6	0.0	4	0	84	0	0	4	4	0	84	2	0	44	23	0	287	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	10	6	0	63	8	0	107	8	0	107
161632.49858567124	64209	125253.87238543984	27.81402272200325	0	46.42050234835032	6.0	6	0.0	1	0	85	0	0	4	1	0	85	1	0	45	21	0	308	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	11	6	0	69	7	0	114	7	0	114
