Soft Currency	Hard Currency	Heart	Food	Worlds	Upgrade	Level	Videos	Skill level	IAPs	IAP spend $	Additional SC	Get Heart Video	Double Reward Videos	Gacha Wheel Videos	Get Gems Videos
70390.48636952847	36.84288873366858	0.0	38.1	1.06	38.1	19.6	59.79	0.0	0.0	0.0	0.0	1.0	6.53	26.13	26.13
63795.644116896874	45.3123797863002	0.0	55.81	1.99	55.81	28.9	98.74	0.0	0.0	0.0	0.0	2.0	12.98	41.88	41.88
66234.59480094287	23.047358727580146	0.0	65.81	2.78	65.81	34.36	129.56	0.0	0.0	0.0	0.0	3.0	19.28	53.64	53.64
77202.10589148446	27.98068828743492	0.0	71.38	3.0	71.38	37.44	155.32	0.0	0.0	0.0	0.0	4.0	25.48	62.92	62.92
107156.34198601071	55.35270257629805	0.0	72.67	3.0	72.67	38.64	177.2	0.0	0.0	0.0	0.0	5.0	31.64	70.28	70.28
91133.05795800762	75.75488833561315	0.0	73.75	3.0	73.75	39.0	197.13	0.0	0.0	0.0	0.0	6.0	37.71	76.71	76.71
83020.6608439272	43.067471207942354	0.0	75.74	3.38	75.74	39.78	218.23	0.0	0.0	0.0	0.0	7.0	43.89	83.67	83.67
34585.74374520584	32.60415670584472	0.0	78.66	4.0	78.66	41.5	241.54	0.0	0.0	0.0	0.0	8.0	50.18	91.68	91.68
50054.26098880565	23.361899317336494	0.0	81.35	4.0	81.35	43.08	264.15	0.0	0.0	0.0	0.0	9.0	56.33	99.41	99.41
67396.18757499786	23.916778457550194	0.0	83.92	4.0	83.92	44.25	286.06	0.0	0.0	0.0	0.0	10.0	62.52	106.77	106.77
119442.73040219072	34.613700734553134	0.0	85.28	4.0	85.28	44.97	306.95	0.0	0.0	0.0	0.0	11.0	68.67	113.64	113.64
118069.49838832165	37.663104434410904	0.0	86.43	4.0	86.43	45.16	326.63	0.0	0.0	0.0	0.0	12.0	74.77	119.93	119.93
152817.45216007135	30.02663376151029	0.0	87.95	4.0	87.95	45.97	347.88	0.0	0.0	0.0	0.0	13.0	80.98	126.95	126.95
208597.71514044688	69.90581470524961	0.0	88.79	4.0	88.79	46.79	369.06	0.0	0.0	0.0	0.0	14.0	87.16	133.95	133.95
299457.7721597856	96.86446149022132	0.0	89.15	4.0	89.15	47.0	388.96	0.0	0.0	0.0	0.0	15.0	93.32	140.32	140.32
213707.84559517755	117.62660990745029	0.0	89.78	4.0	89.78	47.0	408.41	0.0	0.0	0.0	0.0	16.0	99.47	146.47	146.47
295030.8633343164	139.59205819314158	0.0	90.07	4.0	90.07	47.07	428.09	0.0	0.0	0.0	0.0	17.0	105.65	152.72	152.72
307035.19665554166	162.82293796505968	0.0	90.65	4.0	90.65	47.64	448.77	0.0	0.0	0.0	0.0	18.0	111.83	159.47	159.47
421199.1648605373	131.29502068424995	0.0	91.3	4.0	91.3	48.0	469.0	0.0	0.0	0.0	0.0	19.0	118.0	166.0	166.0
525800.0018571952	30.056456666514237	0.0	92.19	4.0	92.19	48.24	488.87	0.0	0.0	0.0	0.0	20.0	124.13	172.37	172.37
398395.0254717179	47.17537003542645	0.0	92.87	4.0	92.87	48.88	509.72	0.0	0.0	0.0	0.0	21.0	130.32	179.2	179.2
600055.3189197447	66.11450384166575	0.0	93.01	4.0	93.01	49.0	529.5	0.0	0.0	0.0	0.0	22.0	136.5	185.5	185.5
557858.0597139683	86.99033777668383	0.0	93.37	4.0	93.37	49.0	549.01	0.0	0.0	0.0	0.0	23.0	142.67	191.67	191.67
350297.85967786715	107.9207998705466	0.0	93.92	4.0	93.92	49.0	568.49	0.0	0.0	0.0	0.0	24.0	148.83	197.83	197.83
571394.7837572895	129.7145832640484	0.02	94.01	4.01	94.01	49.01	587.98	0.0	0.0	0.0	0.0	24.99	154.99	204.0	204.0
588757.3728908633	154.88167351675597	0.61	94.32	4.32	94.32	49.32	605.54	0.0	0.0	0.0	0.0	25.79	160.37	209.69	209.69
205102.05823382348	174.34928362505923	3.9	94.92	4.92	94.92	49.92	612.62	0.0	0.0	0.0	0.0	25.94	162.28	212.2	212.2
146839.91382949136	176.49165907632275	8.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	13.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	18.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	23.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	28.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	33.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	38.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	43.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	48.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	53.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	58.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	63.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	68.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	73.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	78.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	83.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	88.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	93.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	98.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	103.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	108.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	113.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	118.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	123.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	128.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	133.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	138.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	143.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	148.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	153.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	158.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	163.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	168.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	173.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	178.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	183.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	188.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	193.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	198.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	203.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	208.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	213.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	218.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	223.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	228.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	233.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	238.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	243.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	248.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	253.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	258.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	263.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	268.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	273.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	278.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	283.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	288.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	293.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	298.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	303.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	308.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	313.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	318.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	323.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	328.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	333.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	338.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	343.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	348.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	353.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	358.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	363.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	368.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	373.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	378.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	383.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	388.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	393.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	398.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	403.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	408.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	413.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
146839.91382949136	176.49165907632275	418.8	95.0	5.0	95.0	50.0	613.11	0.0	0.0	0.0	0.0	25.94	162.39	212.39	212.39
