Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
13347.021100250899	9452.0	3895.0211002509	61.60837582715296	38.15	23.45837582715295	10.2	10.2	0.0	15.15	0.0	15.15	0.0	0.0	0.0	15.15	0.0	15.15	7.9	0.0	7.9	2.6	0.0	2.6	0.10110161136724691	0.0	0.10110161136724691	0.1	0.0	0.1	0.34900000000000003	0.0	0.34900000000000003	0.05	0.0	0.05	0.2	0.0	0.2	0.55	0.0	0.55	0.9	0.0	0.9	0.95	0.0	0.95
20903.82420500744	21281.25	3517.59530525834	34.82537854847613	45.55	12.733754375629086	10.05	10.05	0.0	11.7	0.0	26.85	0.7	0.0	0.7	11.7	0.0	26.85	6.05	0.0	13.95	1.95	0.0	4.55	0.003640433721933587	0.0	0.1047420450891805	0.0	0.0	0.1	0.0	0.0	0.34900000000000003	0.0	0.0	0.05	0.05	0.0	0.25	0.45	0.0	1.0	0.95	0.0	1.85	0.5	0.0	1.45
22286.664391318827	17801.5	8002.759696577164	27.961592703421967	22.05	18.645347079051053	10.05	10.05	0.0	7.05	0.0	33.9	0.3	0.0	1.0	7.05	0.0	33.9	3.85	0.0	17.8	1.55	0.0	6.1	0.0035406168726191158	0.0	0.10828266196179961	0.0	0.0	0.1	0.0	0.0	0.34900000000000003	0.05	0.0	0.1	0.05	0.0	0.3	0.5	0.0	1.5	0.55	0.0	2.4	0.45	0.0	1.9
26287.11114751563	20496.2	13793.67084409279	27.506950761976903	18.75	27.402297841027952	10.05	10.05	0.0	4.35	0.0	38.25	0.2	0.0	1.2	4.35	0.0	38.25	2.25	0.0	20.05	1.85	0.0	7.95	0.00511547866112823	0.0	0.11339814062292781	0.05	0.0	0.15	0.4995	0.0	0.8484999999999999	0.05	0.0	0.15	0.05	0.0	0.35	0.6	0.0	2.1	0.75	0.0	3.15	0.45	0.0	2.35
32486.78380364681	27547.75	18732.704647739607	30.567182259280322	20.35	37.61948010030827	10.0	10.0	0.0	4.95	0.0	43.2	0.25	0.0	1.45	4.95	0.0	43.2	2.55	0.0	22.6	1.95	0.0	9.9	0.007389618797891233	0.0	0.12078775942081905	0.1	0.0	0.25	0.599	0.0	1.4475	0.0	0.0	0.15	0.0	0.0	0.35	0.35	0.0	2.45	0.9	0.0	4.05	0.7	0.0	3.05
57824.5204915797	61597.35	14959.875139319294	43.02121322247304	61.75	18.89069332278131	10.1	10.1	0.0	9.55	0.0	52.75	0.55	0.0	2.0	9.55	0.0	52.75	5.1	0.0	27.7	2.0	0.0	11.9	0.00576967244955064	0.0	0.12655743187036972	0.0	0.0	0.25	0.0	0.0	1.4475	0.05	0.0	0.2	0.1	0.0	0.45	0.35	0.0	2.8	0.8	0.0	4.85	0.75	0.0	3.8
45517.014346054304	43185.25	17291.639485373602	19.916953283679227	6.85	31.957646606460543	10.05	10.05	0.0	2.15	0.0	54.9	0.15	0.0	2.15	2.15	0.0	54.9	1.35	0.0	29.05	1.2	0.0	13.1	0.006026555755725745	0.0	0.13258398762609544	0.0	0.0	0.25	0.0	0.0	1.4475	0.0	0.0	0.2	0.05	0.0	0.5	0.3	0.0	3.1	0.3	0.0	5.15	0.55	0.0	4.35
38152.08461473323	34049.0	21394.724100106825	14.831741863489597	5.75	41.03938846995013	10.05	10.05	0.0	1.85	0.0	56.75	0.15	0.0	2.3	1.85	0.0	56.75	0.75	0.0	29.8	1.6	0.0	14.7	0.007602580480558512	0.0	0.14018656810665392	0.05	0.0	0.3	0.2495	0.0	1.6970000000000003	0.0	0.0	0.2	0.05	0.0	0.55	0.4	0.0	3.5	0.55	0.0	5.7	0.6	0.0	4.95
63754.40336484549	48294.55	36854.577464952345	20.69594695574729	28.35	33.38533542569744	10.05	10.05	0.0	4.15	0.0	60.9	0.2	0.0	2.5	4.15	0.0	60.9	2.15	0.0	31.95	2.4	0.0	17.1	0.009343475932191096	0.0	0.14953004403884498	0.05	0.0	0.35	0.0995	0.0	1.7965	0.1	0.0	0.3	0.05	0.0	0.6	0.55	0.0	4.05	0.85	0.0	6.55	0.95	0.0	5.9
62527.42676208176	66644.6	32737.404227034094	20.74216067442287	34.1	20.027496100120295	10.0	10.0	0.0	4.8	0.0	65.7	0.45	0.0	2.95	4.8	0.0	65.7	2.6	0.0	34.55	1.4	0.0	18.5	0.008432311288851482	0.0	0.15796235532769648	0.05	0.0	0.4	0.0995	0.0	1.8960000000000001	0.0	0.0	0.3	0.0	0.0	0.6	0.3	0.0	4.35	0.6	0.0	7.15	0.5	0.0	6.4
74730.89748657863	54376.4	53091.9017136127	24.709639892192833	17.05	27.68713599231314	10.15	10.15	0.0	2.15	0.0	67.85	0.0	0.0	2.95	2.15	0.0	67.85	1.2	0.0	35.75	1.8	0.0	20.3	0.007384124190641712	0.0	0.1653464795183382	0.05	0.0	0.45	0.2495	0.0	2.1454999999999997	0.15	0.0	0.45	0.15	0.0	0.75	0.35	0.0	4.7	0.85	0.0	8.0	0.45	0.0	6.85
87177.74861374602	89716.25	50553.40032735873	22.940709469674477	15.35	35.2778454619876	10.1	10.1	0.0	2.4	0.0	70.25	0.05	0.0	3.0	2.4	0.0	70.25	1.3	0.0	37.05	1.0	0.0	21.3	0.007863713910569996	0.0	0.17321019342890814	0.1	0.0	0.55	0.199	0.0	2.3445	0.05	0.0	0.5	0.1	0.0	0.85	0.55	0.0	5.25	0.15	0.0	8.15	0.2	0.0	7.05
92521.74629315847	72321.1	70754.04662051718	28.46240653488858	21.9	41.84025199687618	10.05	10.05	0.0	1.35	0.0	71.6	0.0	0.0	3.0	1.35	0.0	71.6	0.85	0.0	37.9	1.95	0.0	23.25	0.008638924742064947	0.0	0.1818491181709731	0.05	0.0	0.6	0.4995	0.0	2.8440000000000003	0.0	0.0	0.5	0.05	0.0	0.9	0.35	0.0	5.6	0.65	0.0	8.8	0.9	0.0	7.95
120743.71168242504	113810.5	77687.25830294227	16.24613202769618	23.85	34.23638402457235	10.0	10.0	0.0	1.3	0.0	72.9	0.0	0.0	3.0	1.3	0.0	72.9	0.7	0.0	38.6	1.3	0.0	24.55	0.00870537937546089	0.0	0.19055449754643394	0.05	0.0	0.65	0.0995	0.0	2.9435000000000002	0.2	0.0	0.7	0.0	0.0	0.9	0.35	0.0	5.95	0.55	0.0	9.35	0.4	0.0	8.35
98667.44752220382	90072.85	86281.85582514603	26.163094646953066	4.6	55.79947867152542	10.05	10.05	0.0	0.8	0.0	73.7	0.1	0.0	3.1	0.8	0.0	73.7	0.5	0.0	39.1	1.5	0.0	26.05	0.010479876178420411	0.0	0.20103437372485433	0.1	0.0	0.75	0.999	0.0	3.9425000000000003	0.0	0.0	0.7	0.05	0.0	0.95	0.4	0.0	6.35	0.7	0.0	10.05	0.35	0.0	8.7
88899.40312668601	96652.3	78528.95895183206	11.292476306968705	0.0	67.0919549784941	10.15	10.15	0.0	0.75	0.0	74.45	0.05	0.0	3.15	0.75	0.0	74.45	0.15	0.0	39.25	2.2	0.0	28.25	0.012067695205673839	0.0	0.21310206893052816	0.0	0.0	0.75	0.0	0.0	3.9425000000000003	0.0	0.0	0.7	0.15	0.0	1.1	0.55	0.0	6.9	0.7	0.0	10.75	0.8	0.0	9.5
91562.53980814906	87790.95	82300.54875998109	20.230995526358615	0.5	86.82295050485273	10.1	10.1	0.0	0.8	0.0	75.25	0.25	0.0	3.4	0.8	0.0	75.25	0.55	0.0	39.8	1.3	0.0	29.55	0.012946801205933611	0.0	0.2260488701364618	0.1	0.0	0.85	0.599	0.0	4.5415	0.05	0.0	0.75	0.1	0.0	1.2	0.4	0.0	7.3	0.25	0.0	11.0	0.55	0.0	10.05
73782.04093689434	79511.55	76571.03969687544	13.168454028873267	20.8	79.191404533726	10.05	10.05	0.0	1.45	0.0	76.7	0.2	0.0	3.6	1.45	0.0	76.7	0.8	0.0	40.6	1.25	0.0	30.8	0.01166970660595764	0.0	0.23771857674241947	0.05	0.0	0.9	0.0995	0.0	4.641	0.0	0.0	0.75	0.05	0.0	1.25	0.4	0.0	7.7	0.35	0.0	11.35	0.45	0.0	10.5
101708.30552194083	78082.3	100197.04521881622	20.075561048793894	26.6	72.66696558251991	10.0	10.0	0.0	1.7	0.0	78.4	0.2	0.0	3.8	1.7	0.0	78.4	0.9	0.0	41.5	1.65	0.0	32.45	0.011974789895899247	0.0	0.24969336663831868	0.05	0.0	0.95	0.4995	0.0	5.140499999999999	0.05	0.0	0.8	0.0	0.0	1.25	0.55	0.0	8.25	0.5	0.0	11.85	0.6	0.0	11.1
79468.84083645561	108367.45	71298.43605527186	22.9118190503728	33.2	62.378784632892724	10.05	10.05	0.0	2.35	0.0	80.75	0.15	0.0	3.95	2.35	0.0	80.75	1.2	0.0	42.7	1.9	0.0	34.35	0.01152410399013	0.0	0.26121747062844863	0.1	0.0	1.05	0.599	0.0	5.7395000000000005	0.0	0.0	0.8	0.05	0.0	1.3	0.45	0.0	8.7	0.65	0.0	12.5	0.75	0.0	11.85
75387.29227017627	41003.8	105681.92832544814	11.867858230300744	24.85	49.39664286319345	10.2	10.2	0.0	1.25	0.0	82.0	0.0	0.0	3.95	1.25	0.0	82.0	0.6	0.0	43.3	1.35	0.0	35.7	0.01157550354319255	0.0	0.2727929741716413	0.0	0.0	1.05	0.0	0.0	5.7395000000000005	0.05	0.0	0.85	0.15	0.0	1.45	0.4	0.0	9.1	0.6	0.0	13.1	0.2	0.0	12.05
114514.02666973222	132197.1	87998.85499518036	15.335015465931795	12.85	51.881658329125244	10.05	10.05	0.0	1.75	0.0	83.75	0.05	0.0	4.0	1.75	0.0	83.75	1.1	0.0	44.4	2.0	0.0	37.7	0.011697238135816686	0.0	0.28449021230745797	0.0	0.0	1.05	0.0	0.0	5.7395000000000005	0.05	0.0	0.9	0.0	0.0	1.45	1.0	0.0	10.1	0.7	0.0	13.8	0.3	0.0	12.35
110154.13989497387	105835.0	92317.9948901542	14.284531409357237	11.7	54.46618973848247	10.15	10.15	0.0	1.25	0.0	85.0	0.0	0.0	4.0	1.25	0.0	85.0	0.4	0.0	44.8	1.9	0.0	39.6	0.011806056964379204	0.0	0.29629626927183705	0.0	0.0	1.05	0.0	0.0	5.7395000000000005	0.05	0.0	0.95	0.1	0.0	1.55	0.55	0.0	10.65	0.5	0.0	14.3	0.75	0.0	13.1
122305.47399643243	64712.45	149911.01888658662	14.39599412039139	21.45	47.412183858873874	10.05	10.05	0.0	0.85	0.0	85.85	0.0	0.0	4.0	0.85	0.0	85.85	0.5	0.0	45.3	2.35	0.0	41.95	0.012940560628026464	0.0	0.30923682989986356	0.05	0.0	1.1	0.0995	0.0	5.839	0.0	0.0	0.95	0.05	0.0	1.6	0.75	0.0	11.4	0.8	0.0	15.1	0.75	0.0	13.85
136864.53063912416	108546.4	178229.14952571076	13.885198843486956	22.0	39.29738270236082	10.1	10.1	0.0	0.9	0.0	86.75	0.0	0.0	4.0	0.9	0.0	86.75	0.45	0.0	45.75	1.5	0.0	43.45	0.013591588684280051	0.0	0.3228284185841436	0.0	0.0	1.1	0.0	0.0	5.839	0.05	0.0	1.0	0.05	0.0	1.65	0.6	0.0	12.0	0.35	0.0	15.45	0.5	0.0	14.35
153030.09156344732	163510.8	167748.44108915803	16.578045490462976	9.3	46.5754281928238	10.0	10.0	0.0	0.85	0.0	87.6	0.0	0.0	4.0	0.85	0.0	87.6	0.3	0.0	46.05	1.55	0.0	45.0	0.013653767239630948	0.0	0.3364821858237746	0.05	0.0	1.15	0.0995	0.0	5.9385	0.15	0.0	1.15	0.0	0.0	1.65	0.6	0.0	12.6	0.65	0.0	16.1	0.3	0.0	14.65
159022.91337749606	112509.55	214261.80446665414	19.660371747400156	8.55	57.68579994022396	10.15	10.15	0.0	0.6	0.0	88.2	0.0	0.0	4.0	0.6	0.0	88.2	0.4	0.0	46.45	1.6	0.0	46.6	0.01425489873268477	0.0	0.35073708455645936	0.1	0.0	1.25	0.199	0.0	6.1375	0.0	0.0	1.15	0.15	0.0	1.8	0.5	0.0	13.1	0.4	0.0	16.5	0.55	0.0	15.2
189927.32107225322	165322.45	238866.67553890738	24.725056975849395	7.45	74.96085691607335	10.0	10.0	0.0	0.65	0.0	88.85	0.0	0.0	4.0	0.65	0.0	88.85	0.5	0.0	46.95	1.8	0.0	48.4	0.014092054492448814	0.0	0.3648291390489081	0.05	0.0	1.3	0.2495	0.0	6.387	0.1	0.0	1.25	0.0	0.0	1.8	0.65	0.0	13.75	0.7	0.0	17.2	0.45	0.0	15.65
199578.74664848243	189042.55	249402.87218738985	14.437718889151508	21.05	68.34857580522484	10.0	10.0	0.0	0.65	0.0	89.5	0.0	0.0	4.0	0.65	0.0	89.5	0.3	0.0	47.25	1.75	0.0	50.15	0.013990128793647574	0.0	0.3788192678425557	0.0	0.0	1.3	0.0	0.0	6.387	0.15	0.0	1.4	0.0	0.0	1.8	0.4	0.0	14.15	0.85	0.0	18.05	0.5	0.0	16.15
193677.61586643307	112472.25	330608.23805382283	27.80575456360068	22.85	73.30433036882552	10.05	10.05	0.0	0.4	0.0	89.9	0.0	0.0	4.0	0.4	0.0	89.9	0.2	0.0	47.45	1.9	0.0	52.05	0.015008550206869208	0.0	0.3938278180494249	0.1	0.0	1.4	0.999	0.0	7.386	0.1	0.0	1.5	0.05	0.0	1.85	0.7	0.0	14.85	0.45	0.0	18.5	0.7	0.0	16.85
215131.05088667013	227518.5	318220.7889404931	14.663346034121872	0.0	87.9676764029474	10.15	10.15	0.0	0.5	0.0	90.4	0.0	0.0	4.0	0.5	0.0	90.4	0.35	0.0	47.8	1.4	0.0	53.45	0.015585445532270698	0.0	0.40941326358169555	0.05	0.0	1.45	0.0995	0.0	7.485499999999999	0.0	0.0	1.5	0.15	0.0	2.0	0.65	0.0	15.5	0.2	0.0	18.7	0.4	0.0	17.25
216604.67426811712	154548.75	380276.71320861013	11.221493722650585	10.75	88.439170125598	10.1	10.1	0.0	0.3	0.0	90.7	0.0	0.0	4.0	0.3	0.0	90.7	0.2	0.0	48.0	1.4	0.0	54.85	0.016873345023447082	0.0	0.4262866086051426	0.0	0.0	1.45	0.0	0.0	7.485499999999999	0.05	0.0	1.55	0.1	0.0	2.1	0.4	0.0	15.9	0.55	0.0	19.25	0.35	0.0	17.6
222088.08507762634	222032.1	380332.69828623655	12.880928956356433	0.0	101.3200990819544	10.2	10.2	0.0	0.4	0.0	91.1	0.0	0.0	4.0	0.4	0.0	91.1	0.25	0.0	48.25	1.55	0.0	56.4	0.01690166565877695	0.0	0.4431882742639197	0.05	0.0	1.5	0.0995	0.0	7.584999999999999	0.0	0.0	1.55	0.2	0.0	2.3	0.3	0.0	16.2	0.6	0.0	19.85	0.45	0.0	18.05
