Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
7142.663138511089	4708.0	2434.6631385110895	51.38785075458652	33.0	18.387850754586516	5.0	5.0	0.0	10.6	0.0	10.6	0.0	0.0	0.0	10.6	0.0	10.6	5.2	0.0	5.2	1.6	0.0	1.6	0.10021583624920952	0.0	0.10021583624920952	0.2	0.0	0.2	1.998	0.0	1.998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.6	1.0	0.0	1.0
11048.768348949065	5278.0	8205.431487460159	20.439252801950023	11.6	27.227103556536537	5.0	5.0	0.0	4.8	0.0	15.4	0.0	0.0	0.0	4.8	0.0	15.4	2.6	0.0	7.8	0.6	0.0	2.2	0.0014051989890332662	0.0	0.1016210352382428	0.0	0.0	0.2	0.0	0.0	1.998	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.8	0.4	0.0	1.4
16766.82335618707	18974.8	5997.45484364723	29.60588839348258	25.6	31.23299195001912	5.0	5.0	0.0	8.0	0.0	23.4	0.4	0.0	0.4	8.0	0.0	23.4	4.2	0.0	12.0	1.0	0.0	3.2	0.0020348114961243535	0.0	0.10365584673436712	0.2	0.0	0.4	0.998	0.0	2.996	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.6	0.2	0.0	1.6
7359.077068811745	7535.4	5821.1319124589745	11.459372090149419	11.0	31.692364040168524	5.2	5.2	0.0	2.4	0.0	25.8	0.2	0.0	0.6	2.4	0.0	25.8	1.4	0.0	13.4	1.2	0.0	4.4	0.002662551341195877	0.0	0.10631839807556301	0.0	0.0	0.4	0.0	0.0	2.996	0.0	0.0	0.2	0.2	0.0	0.2	0.4	0.0	0.4	0.0	0.0	1.6	0.6	0.0	2.2
7423.009152178092	3792.2	9451.941064637067	10.529412178012732	16.4	25.82177621818126	5.0	5.0	0.0	2.8	0.0	28.6	0.0	0.0	0.6	2.8	0.0	28.6	1.2	0.0	14.6	0.4	0.0	4.8	0.0030660772388566206	0.0	0.10938447531441964	0.0	0.0	0.4	0.0	0.0	2.996	0.0	0.0	0.2	0.0	0.0	0.2	0.2	0.0	0.6	0.2	0.0	1.8	0.0	0.0	2.2
7882.205331988131	5553.0	11781.1463966252	12.015910016750894	10.6	27.23768623493215	5.4	5.4	0.0	2.4	0.0	31.0	0.4	0.0	1.0	2.4	0.0	31.0	1.4	0.0	16.0	0.8	0.0	5.6	0.003388336245053225	0.0	0.11277281155947286	0.0	0.0	0.4	0.0	0.0	2.996	0.0	0.0	0.2	0.4	0.0	0.6	0.2	0.0	0.8	0.0	0.0	1.8	0.2	0.0	2.4
19686.84872974974	20075.4	11392.595126374941	21.96657691263389	22.2	27.004263147566043	5.0	5.0	0.0	6.0	0.0	37.0	0.2	0.0	1.2	6.0	0.0	37.0	3.2	0.0	19.2	1.6	0.0	7.2	0.0027263030937207597	0.0	0.11549911465319362	0.0	0.0	0.4	0.0	0.0	2.996	0.0	0.0	0.2	0.0	0.0	0.6	0.6	0.0	1.4	0.4	0.0	2.2	0.6	0.0	3.0
13742.445592732478	9400.6	15734.440719107419	12.508256254006753	8.8	30.7125194015728	5.0	5.0	0.0	1.8	0.0	38.8	0.0	0.0	1.2	1.8	0.0	38.8	1.0	0.0	20.2	0.6	0.0	7.8	0.003112678060411176	0.0	0.11861179271360478	0.0	0.0	0.4	0.0	0.0	2.996	0.0	0.0	0.2	0.0	0.0	0.6	0.2	0.0	1.6	0.2	0.0	2.4	0.2	0.0	3.2
21949.620483592775	23319.4	14364.661202700197	14.613274698596788	12.2	33.125794100169585	5.2	5.2	0.0	3.4	0.0	42.2	0.2	0.0	1.4	3.4	0.0	42.2	1.8	0.0	22.0	1.0	0.0	8.8	0.003274654269078141	0.0	0.12188644698268292	0.0	0.0	0.4	0.0	0.0	2.996	0.2	0.0	0.4	0.2	0.0	0.8	0.0	0.0	1.6	0.2	0.0	2.6	0.6	0.0	3.8
15386.289033065177	7715.2	22035.750235765372	11.299436469072113	11.4	33.0252305692417	5.0	5.0	0.0	1.0	0.0	43.2	0.0	0.0	1.4	1.0	0.0	43.2	0.6	0.0	22.6	1.4	0.0	10.2	0.003652774696426363	0.0	0.1255392216791093	0.0	0.0	0.4	0.0	0.0	2.996	0.0	0.0	0.4	0.0	0.0	0.8	0.8	0.0	2.4	0.4	0.0	3.0	0.2	0.0	4.0
