Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
10719.53138566176	8190.95	2528.581385661761	50.169795871450674	34.15	16.019795871450675	7.8	7.8	0.0	13.6	0.0	13.6	0.05	0.0	0.05	13.6	0.0	13.6	6.85	0.0	6.85	1.85	0.0	1.85	0.10061573456028786	0.0	0.10061573456028786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.7	0.0	0.7	0.65	0.0	0.65
14482.264933330964	12453.45	4557.396318992727	30.99666385143299	29.8	17.216459722883673	8.05	8.05	0.0	7.95	0.0	21.55	0.25	0.0	0.3	7.95	0.0	21.55	4.3	0.0	11.15	1.9	0.0	3.75	0.0019301145167227468	0.0	0.10254584907701059	0.1	0.0	0.1	0.199	0.0	0.199	0.05	0.0	0.05	0.05	0.0	0.05	0.25	0.0	0.75	0.65	0.0	1.35	0.95	0.0	1.6
15784.584528188348	16384.9	3957.080847181074	26.20799239281073	29.5	13.924452115694404	7.8	7.8	0.0	7.6	0.0	29.15	0.55	0.0	0.85	7.6	0.0	29.15	4.1	0.0	15.25	1.1	0.0	4.85	0.0026472750185472676	0.0	0.10519312409555784	0.05	0.0	0.15	0.2495	0.0	0.4485	0.0	0.0	0.05	0.0	0.0	0.05	0.3	0.0	1.05	0.35	0.0	1.7	0.45	0.0	2.05
18034.09129661117	16109.35	5881.82214379224	22.723022076275203	16.7	19.94747419196961	8.2	8.2	0.0	5.75	0.0	34.9	0.3	0.0	1.15	5.75	0.0	34.9	3.05	0.0	18.3	1.3	0.0	6.15	0.0037387150114765546	0.0	0.10893183910703438	0.0	0.0	0.15	0.0	0.0	0.4485	0.0	0.0	0.05	0.1	0.0	0.15	0.3	0.0	1.35	0.5	0.0	2.2	0.4	0.0	2.45
22786.83297912973	19186.85	9481.805122921967	25.650634092704905	18.85	26.748108284674515	8.0	8.0	0.0	4.9	0.0	39.8	0.2	0.0	1.35	4.9	0.0	39.8	2.7	0.0	21.0	1.55	0.0	7.7	0.00305280639955769	0.0	0.11198464550659204	0.0	0.0	0.15	0.0	0.0	0.4485	0.0	0.0	0.05	0.0	0.0	0.15	0.25	0.0	1.6	0.65	0.0	2.85	0.65	0.0	3.1
28038.34449921584	23352.5	14167.649622137804	24.262934775653655	22.35	28.661043060328176	7.85	7.85	0.0	3.35	0.0	43.15	0.15	0.0	1.5	3.35	0.0	43.15	1.75	0.0	22.75	1.55	0.0	9.25	0.003640881010042928	0.0	0.11562552651663502	0.1	0.0	0.25	0.749	0.0	1.1975000000000002	0.05	0.0	0.1	0.05	0.0	0.2	0.65	0.0	2.25	0.5	0.0	3.35	0.35	0.0	3.45
35494.68790151072	34318.1	15344.237523648515	24.594333915410136	30.55	22.70537697573831	8.0	8.0	0.0	5.4	0.0	48.55	0.35	0.0	1.85	5.4	0.0	48.55	2.85	0.0	25.6	1.6	0.0	10.85	0.004190946928198455	0.0	0.11981647344483345	0.0	0.0	0.25	0.0	0.0	1.1975000000000002	0.05	0.0	0.15	0.0	0.0	0.2	0.35	0.0	2.6	0.55	0.0	3.9	0.7	0.0	4.15
39448.929154522	41578.05	13215.11667817052	30.070835153586774	27.45	25.32621212932508	8.15	8.15	0.0	4.75	0.0	53.3	0.25	0.0	2.1	4.75	0.0	53.3	2.45	0.0	28.05	1.4	0.0	12.25	0.0034449279406337406	0.0	0.12326140138546719	0.15	0.0	0.4	0.8484999999999999	0.0	2.0460000000000003	0.05	0.0	0.2	0.05	0.0	0.25	0.3	0.0	2.9	0.45	0.0	4.35	0.6	0.0	4.75
37588.47422630461	31590.45	19213.140904475138	18.442489280303683	13.0	30.768701409628754	7.85	7.85	0.0	2.3	0.0	55.6	0.25	0.0	2.35	2.3	0.0	55.6	1.3	0.0	29.35	1.4	0.0	13.65	0.004080099756914512	0.0	0.12734150114238169	0.1	0.0	0.5	0.34900000000000003	0.0	2.3949999999999996	0.05	0.0	0.25	0.0	0.0	0.25	0.5	0.0	3.4	0.5	0.0	4.85	0.4	0.0	5.15
48816.14704544213	37292.0	30737.287949917263	14.783342241228317	12.9	32.65204365085708	7.45	7.45	0.0	2.45	0.0	58.05	0.05	0.0	2.4	2.45	0.0	58.05	1.3	0.0	30.65	1.3	0.0	14.95	0.003933987778418637	0.0	0.13127548892080032	0.05	0.0	0.55	0.0995	0.0	2.4945	0.1	0.0	0.35	0.0	0.0	0.25	0.35	0.0	3.75	0.45	0.0	5.3	0.5	0.0	5.65
