Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
28531.52118172018	22954.0	5577.521181720181	72.04742375304644	48.6	23.447423753046436	6.0	6.0	0.0	22.2	0.0	22.2	0.3	0.0	0.3	22.2	0.0	22.2	11.4	0.0	11.4	0.0	0.0	0.0	0.10154268061001574	0.0	0.10154268061001574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36115.96729983612	33933.3	7760.1884815562935	41.383406316507326	42.6	22.230830069553768	6.0	6.0	0.0	12.8	0.0	35.0	0.7	0.0	1.0	12.8	0.0	35.0	7.3	0.0	18.7	0.0	0.0	0.0	0.0033509710436348825	0.0	0.10489365165365064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33873.613833605246	29141.2	12492.602315161546	23.572267540037814	35.0	10.803097609591578	6.0	6.0	0.0	6.7	0.0	41.7	0.4	0.0	1.4	6.7	0.0	41.7	3.1	0.0	21.8	0.0	0.0	0.0	0.0017198608033144494	0.0	0.10661351245696508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31263.59579889431	13967.1	29789.09811405585	18.42825194834029	8.0	21.231349557931868	6.0	6.0	0.0	1.3	0.0	43.0	0.0	0.0	1.4	1.3	0.0	43.0	0.8	0.0	22.6	0.0	0.0	0.0	0.003346444305292175	0.0	0.10995995676225725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30499.22425541796	20916.3	39372.022369473816	10.709065469321702	0.0	31.94041502725356	6.0	6.0	0.0	0.7	0.0	43.7	0.0	0.0	1.4	0.7	0.0	43.7	0.4	0.0	23.0	0.0	0.0	0.0	0.004553534573401822	0.0	0.11451349133565907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35139.87976315789	26375.3	48136.60213263171	15.07668486842105	6.1	40.917099895674625	6.0	6.0	0.0	2.1	0.0	45.8	0.1	0.0	1.5	2.1	0.0	45.8	1.0	0.0	24.0	0.0	0.0	0.0	0.00568209555496934	0.0	0.12019558689062841	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65513.614315789484	73176.2	40474.016448421185	34.545305263157886	44.6	30.862405158832512	6.0	6.0	0.0	8.0	0.0	53.8	0.5	0.0	2.0	8.0	0.0	53.8	4.2	0.0	28.2	0.0	0.0	0.0	0.005102813626253527	0.0	0.12529840051688193	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44198.332810046464	37353.5	47318.84925846766	14.606860441104166	19.0	26.469265599936683	6.0	6.0	0.0	3.2	0.0	57.0	0.3	0.0	2.3	3.2	0.0	57.0	1.8	0.0	30.0	0.0	0.0	0.0	0.005265244900405568	0.0	0.1305636454172875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53685.180758163784	29618.6	71385.43001663145	15.178526456937467	14.8	26.847792056874148	6.0	6.0	0.0	2.1	0.0	59.1	0.1	0.0	2.4	2.1	0.0	59.1	1.1	0.0	31.1	0.0	0.0	0.0	0.005210795376352856	0.0	0.13577444079364034	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50948.78930851924	43301.0	79033.21932515068	17.197285191645356	17.1	26.9450772485195	6.0	6.0	0.0	2.9	0.0	62.0	0.1	0.0	2.5	2.9	0.0	62.0	1.5	0.0	32.6	0.0	0.0	0.0	0.004657522801129954	0.0	0.1404319635947703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37183.29509227241	4229.9	111986.61441742307	8.82528859832464	0.0	35.77036584684412	6.0	6.0	0.0	0.1	0.0	62.1	0.0	0.0	2.5	0.1	0.0	62.1	0.0	0.0	32.6	0.0	0.0	0.0	0.0056244183006251705	0.0	0.14605638189539547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84529.66100758982	103998.8	92517.4754250129	26.342188133358825	36.1	26.01255398020295	6.0	6.0	0.0	4.5	0.0	66.6	0.3	0.0	2.8	4.5	0.0	66.6	2.6	0.0	35.2	0.0	0.0	0.0	0.003671664434340056	0.0	0.14972804632973552	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66899.15665980235	44346.3	115070.33208481525	17.841312953648295	6.0	37.85386693385125	6.0	6.0	0.0	1.0	0.0	67.6	0.0	0.0	2.8	1.0	0.0	67.6	0.7	0.0	35.9	0.0	0.0	0.0	0.0044115257371844276	0.0	0.15413957206691992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71048.59301614044	55095.4	131023.5251009557	11.536844780715098	17.3	32.090711714566346	6.0	6.0	0.0	1.0	0.0	68.6	0.0	0.0	2.8	1.0	0.0	68.6	0.6	0.0	36.5	0.0	0.0	0.0	0.005409809042320026	0.0	0.15954938110923994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75465.69956354026	85613.5	120875.72466449594	14.837320901956847	9.6	37.328032616523195	6.0	6.0	0.0	1.9	0.0	70.5	0.1	0.0	2.9	1.9	0.0	70.5	1.1	0.0	37.6	0.0	0.0	0.0	0.005524921089419514	0.0	0.16507430219865943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73369.31489434619	82790.4	111454.6395588421	10.064892295585453	2.7	44.69292491210864	6.0	6.0	0.0	0.7	0.0	71.2	0.0	0.0	2.9	0.7	0.0	71.2	0.4	0.0	38.0	0.0	0.0	0.0	0.005854386484900472	0.0	0.17092868868355993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76462.14079565633	137705.2	50211.580354498445	14.425371879132248	9.6	49.5182967912409	6.0	6.0	0.0	2.2	0.0	73.4	0.2	0.0	3.1	2.2	0.0	73.4	1.0	0.0	39.0	0.0	0.0	0.0	0.007119073698804055	0.0	0.17804776238236397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
