Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
1660.5487904204442	1380	280.54879042044405	20.19668431070924	5	15.19668431070924	5.0	5	0.0	7	0	7	0	0	0	7	0	7	4	0	4	0	0	0	0.1	0.0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2924.412145788018	1750	1454.960936208462	16.667995801713946	15	16.864680112423187	5.0	5	0.0	4	0	11	0	0	0	4	0	11	2	0	6	0	0	0	0.0003010299956639812	0.0	0.10030102999566398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3027.550102249489	2825	1657.511038457951	11.786912065439672	16	12.651592177862856	5.0	5	0.0	3	0	14	0	0	0	3	0	14	1	0	7	0	0	0	0	0.0	0.10030102999566398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5963.009301434308	6805	815.5203398922581	13.72260553055312	0	26.374197708415977	5.0	5	0.0	3	0	17	0	0	0	3	0	17	2	0	9	0	0	0	0.0019822712330395684	0.0	0.10228330122870355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2387.5492154065623	0	3203.06955529882	4.591440798858773	0	30.965638507274743	5.0	5	0.0	0	0	17	0	0	0	0	0	17	0	0	9	0	0	0	0.0006020599913279624	0.0	0.1028853612200315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3772.6073311418468	6579	396.67688644066703	20.21989704149352	31	20.18553554876826	5.0	5	0.0	4	0	21	1	0	1	4	0	21	2	0	11	0	0	0	0.0009030899869919436	0.0	0.10378845120702344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6988.651140454897	5904	1481.3280268955652	16.668838706694366	20	16.854374255462627	5.0	5	0.0	8	0	29	0	0	1	8	0	29	4	0	15	0	0	0	0	0.0	0.10378845120702344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9654.18435276893	10007	1128.5123796644957	20.70211197756291	22	15.556486233025538	5.0	5	0.0	4	0	33	0	0	1	4	0	33	2	0	17	0	0	0	0.0016020599913279625	0.0	0.10539051119835141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8972.787460322817	4389	5712.299839987314	36.94833246446713	40	12.50481869749266	5.0	5	0.0	2	0	35	0	0	1	2	0	35	1	0	18	0	0	0	0	0	0.10539051119835141	1	0	1	4.99	0	4.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11338.63312644382	7699	9351.932966431134	8.7125564307384	0	21.21737512823106	5.0	5	0.0	1	0	36	0	0	1	1	0	36	1	0	19	0	0	0	0	0.0	0.10539051119835141	0	0	1	0	0	4.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
