Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
1664.514290967343	1380	284.5142909673429	21.20201343620907	20	1.202013436209071	5.0	5	0.0	8	0	8	0	0	0	8	0	8	4	0	4	1	0	1	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
27278.169934984257	15790	11772.684225951598	34.796693334735764	16	19.998706770944832	5.0	5	0.0	10	0	18	0	0	0	10	0	18	5	0	9	5	0	6	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	3	1	0	2
5028.787446504993	0	16801.47167245659	4.863052781740371	0	24.861759552685196	5.0	5	0.0	0	0	18	0	0	0	0	0	18	0	0	9	1	0	7	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	2
2528.7874465049927	0	19330.259118961585	4.863052781740371	0	29.72481233442556	5.0	5	0.0	0	0	18	0	0	0	0	0	18	0	0	9	0	0	7	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2
21616.631226373745	33558	7388.890345335331	44.8846251973648	53	21.60943753179036	5.0	5	0.0	16	0	34	1	0	1	16	0	34	9	0	18	1	0	8	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	3
11615.074953380277	8799	10204.96529871561	20.74155139302513	22	20.35098892481549	5.0	5	0.0	2	0	36	0	0	1	2	0	36	1	0	19	1	0	9	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	4
6513.81052631579	9449	7269.7758250314	5.861052631578947	0	26.21204155639443	5.0	5	0.0	1	0	37	0	0	1	1	0	37	0	0	19	1	0	10	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	5
6513.81052631579	0	13783.586351347192	4.861052631578947	0	31.073094187973368	5.0	5	0.0	0	0	37	0	0	1	0	0	37	0	0	19	0	0	10	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	5
6513.81052631579	0	20297.396877662984	4.861052631578947	0	35.934146819552325	5.0	5	0.0	0	0	37	0	0	1	0	0	37	0	0	19	0	0	10	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	5
6513.81052631579	0	26811.207403978777	4.861052631578947	0	40.79519945113128	5.0	5	0.0	0	0	37	0	0	1	0	0	37	0	0	19	0	0	10	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	5
46682.79906895821	61450	12044.00647293698	59.805876812116	91	9.60107626324728	5.0	5	0.0	15	0	52	1	0	2	15	0	52	8	0	27	1	0	11	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	6
24138.492640765297	16099	20083.499113702273	9.793623166294141	0	19.394699429541426	5.0	5	0.0	1	0	53	0	0	2	1	0	53	1	0	28	0	0	11	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	6
33825.53003095975	31509	22400.029144662032	9.687220658598369	0	29.081920088139796	5.0	5	0.0	1	0	54	0	0	2	1	0	54	1	0	29	1	0	12	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	6
19221.276315789473	28659	12962.305460451507	5.523355263157894	0	34.6052753512977	5.0	5	0.0	1	0	55	0	0	2	1	0	55	0	0	29	1	0	13	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	5	0	0	6
19581.868421052633	0	32544.173881504146	7.626973684210525	0	42.23224903550823	5.0	5	0.0	0	0	55	0	0	2	0	0	55	0	0	29	3	0	16	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	5	2	0	8
16919.21052631579	31509	17954.384407819936	5.8618421052631575	0	48.094091140771376	5.0	5	0.0	1	0	56	0	0	2	1	0	56	0	0	29	1	0	17	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	1	0	9
27070.73684210526	0	45025.12124992521	8.778947368421052	0	56.873038509192426	5.0	5	0.0	0	0	56	0	0	2	0	0	56	0	0	29	4	0	21	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	1	0	6	0	0	9
54407.13774338917	74094	25338.25899331438	20.633111555139873	76	1.5061500643322967	5.0	5	0.0	9	0	65	1	0	3	9	0	65	5	0	34	0	0	21	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	9
28851.30364186546	31099	23090.562635179835	9.665771713013456	0	11.171921777345752	5.0	5	0.0	1	0	66	0	0	3	1	0	66	1	0	35	0	0	21	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	9
27136.44670050761	31099	19128.009335687442	4.631472081218274	0	15.803393858564021	5.0	5	0.0	1	0	67	0	0	3	1	0	67	0	0	35	1	0	22	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	7	0	0	9
40791.66166093483	42299	17620.670996622273	9.749090717062835	20	5.552484575626858	5.0	5	0.0	2	0	69	0	0	3	2	0	69	1	0	36	1	0	23	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	7	0	0	9
27482.96488946684	0	45103.635886089105	5.77373211963589	0	11.32621669526275	5.0	5	0.0	0	0	69	0	0	3	0	0	69	0	0	36	1	0	24	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	7	0	0	9
25402.470741222365	0	70506.10662731146	5.8114434330299085	0	17.13766012829266	5.0	5	0.0	0	0	69	0	0	3	0	0	69	0	0	36	2	0	26	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	8	1	0	10
51261.05905861926	74689	47078.16568593072	28.78847010974558	27	18.92613023803824	5.0	5	0.0	2	0	71	0	0	3	2	0	71	1	0	37	0	0	26	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	10
64889.4418437978	74689	37278.60752972851	9.78684046819676	0	28.712970706235005	5.0	5	0.0	1	0	72	0	0	3	1	0	72	1	0	38	1	0	27	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	9	0	0	10
54762.138533961	0	92040.74606368951	6.724613315400134	0	35.43758402163514	6.0	6	0.0	0	0	72	0	0	3	0	0	72	0	0	38	3	0	30	0	0	0.0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	9	1	0	10	0	0	10
90516.41849375347	126099	56458.164557443	9.683210658689616	0	45.12079468032476	5.0	5	0.0	1	0	73	0	0	3	1	0	73	1	0	39	2	0	32	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	1	0	11	0	0	10
39860.16913319239	0	96318.3336906354	4.399577167019028	0	49.52037184734377	5.0	5	0.0	0	0	73	0	0	3	0	0	73	0	0	39	0	0	32	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	11	0	0	10
47832.202959830865	0	144150.53665046627	5.2794926004228335	0	54.79986444776659	5.0	5	0.0	0	0	73	0	0	3	0	0	73	0	0	39	1	0	33	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	11	0	0	11	0	0	10
41944.160676532774	149869	36225.69732699904	4.629598308668076	0	59.429462756434674	5.0	5	0.0	1	0	74	0	0	3	1	0	74	0	0	39	0	0	33	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	11	0	0	10
44965.15856236787	0	81190.85588936691	4.687103594080338	0	64.11656635051503	5.0	5	0.0	0	0	74	0	0	3	0	0	74	0	0	39	1	0	34	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	1	0	12	0	0	10
50958.19027484144	0	132149.04616420835	5.624524312896406	0	69.74109066341146	5.0	5	0.0	0	0	74	0	0	3	0	0	74	0	0	39	1	0	35	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	12	0	0	12	0	0	10
43093.420718816065	149869	25373.46688302442	4.756448202959831	0	74.49753886637129	5.0	5	0.0	1	0	75	0	0	3	1	0	75	0	0	39	0	0	35	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	12	0	0	10
44035.81395348837	0	69409.28083651279	4.8604651162790695	0	79.35800398265033	5.0	5	0.0	0	0	75	0	0	3	0	0	75	0	0	39	0	0	35	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	12	0	0	10
44035.81395348837	0	113445.09479000118	4.8604651162790695	0	84.21846909892938	5.0	5	0.0	0	0	75	0	0	3	0	0	75	0	0	39	0	0	35	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	12	0	0	10
44035.81395348837	0	157480.90874348956	4.8604651162790695	0	89.07893421520842	5.0	5	0.0	0	0	75	0	0	3	0	0	75	0	0	39	0	0	35	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	12	0	0	10
119829.97511810719	237506	39804.88386159678	17.869753971384863	92	14.94868818659326	5.0	5	0.0	6	0	81	1	0	4	6	0	81	4	0	43	1	0	36	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	12	1	0	11
56892.611865949526	54439	42258.495727546295	9.632145635084814	0	24.58083382167808	5.0	5	0.0	1	0	82	0	0	4	1	0	82	1	0	44	1	0	37	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	13	0	0	11
31158.399999999998	64209	9207.895727546293	4.28	0	28.860833821678085	5.0	5	0.0	1	0	83	0	0	4	1	0	83	0	0	44	0	0	37	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	13	0	0	11
32905.6	0	42113.495727546295	5.52	0	34.380833821678095	5.0	5	0.0	0	0	83	0	0	4	0	0	83	0	0	44	1	0	38	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	13	1	0	12
42905.600000000006	0	85019.09572754629	6.52	0	40.90083382167811	5.0	5	0.0	0	0	83	0	0	4	0	0	83	0	0	44	2	0	40	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	14	1	0	13
39303.35999999999	0	124322.45572754627	4.712	41	4.612833821678116	5.0	5	0.0	1	0	84	0	0	4	1	0	84	0	0	44	1	0	41	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	15	0	0	13
34652.799999999996	0	158975.25572754626	4.76	0	9.372833821678116	5.0	5	0.0	0	0	84	0	0	4	0	0	84	0	0	44	0	0	41	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	15	0	0	13
81542.17971713425	181739	58778.435444680494	10.61880454440065	0	19.99163836607876	5.0	5	0.0	1	0	85	0	0	4	1	0	85	1	0	45	1	0	42	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	13	0	0	15	0	0	13
43549.84929283561	0	102328.28473751614	4.527011361001623	0	24.518649727080376	5.0	5	0.0	0	0	85	0	0	4	0	0	85	0	0	45	0	0	42	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	15	0	0	13
43549.84929283561	0	145878.13403035176	4.527011361001623	0	29.045661088081992	5.0	5	0.0	0	0	85	0	0	4	0	0	85	0	0	45	0	0	42	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	15	0	0	13
52768.365406909346	181739	16907.499437261096	5.485277069325296	0	34.53093815740729	5.0	5	0.0	1	0	86	0	0	4	1	0	86	0	0	45	1	0	43	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	14	0	0	15	0	0	13
