Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
2690.0	2280	410.0	29.0	20	9.0	5.0	5	0.0	10	0	10	0	0	0	10	0	10	5	0	5	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3900	3885	425.0	16	16	9.0	5.0	5	0.0	4	0	14	0	0	0	4	0	14	2	0	7	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3560	1445	2540.0	10	0	19.0	5.0	5	0.0	1	0	15	0	0	0	1	0	15	1	0	8	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4700	5150	2090.0	9	0	28.0	5.0	5	0.0	2	0	17	0	0	0	2	0	17	1	0	9	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4700	6579	211.0	11	31	8.0	5.0	5	0.0	4	0	21	1	0	1	4	0	21	2	0	11	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6700	5904	1007.0	27	20	15.0	5.0	5	0.0	8	0	29	0	0	1	8	0	29	4	0	15	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9880	10007	880.0	21	22	14.0	5.0	5	0.0	4	0	33	0	0	1	4	0	33	2	0	17	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9020	4389	5511.0	10	0	24.0	5.0	5	0.0	1	0	34	0	0	1	1	0	34	1	0	18	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11720	7699	9532.0	9	0	33.0	5.0	5	0.0	1	0	35	0	0	1	1	0	35	1	0	19	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6700	9449	6783.0	5	0	38.0	5.0	5	0.0	1	0	36	0	0	1	1	0	36	0	0	19	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11040	17298	525.0	11	40	9.0	5.0	5	0.0	4	0	40	1	0	2	4	0	40	2	0	21	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11000	9556	1969.0	25	31	3.0	5.0	5	0.0	6	0	46	0	0	2	6	0	46	3	0	24	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12240	10048	4161.0	9	0	12.0	5.0	5	0.0	2	0	48	0	0	2	2	0	48	1	0	25	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25260	17898	11523.0	28	20	20.0	5.0	5	0.0	3	0	51	0	0	2	3	0	51	2	0	27	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11500	14949	8074.0	5	0	25.0	5.0	5	0.0	1	0	52	0	0	2	1	0	52	0	0	27	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24120	14949	17245.0	10	0	35.0	5.0	5	0.0	1	0	53	0	0	2	1	0	53	1	0	28	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29840	25799	21286.0	10	0	45.0	5.0	5	0.0	1	0	54	0	0	2	1	0	54	1	0	29	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17400	31509	7177.0	5	0	50.0	5.0	5	0.0	1	0	55	0	0	2	1	0	55	0	0	29	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17400	0	24577.0	5	0	55.0	5.0	5	0.0	0	0	55	0	0	2	0	0	55	0	0	29	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28320	49289	3608.0	11	57	9.0	5.0	5	0.0	3	0	58	1	0	3	3	0	58	2	0	31	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4200	5569	2239.0	5	0	14.0	5.0	5	0.0	1	0	59	0	0	3	1	0	59	0	0	31	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8960	5569	5630.0	7	19	2.0	5.0	5	0.0	2	0	61	0	0	3	2	0	61	1	0	32	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
