Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
1739.0298340083764	1432.0	307.0298340083758	33.997001211913954	21.98	12.017001211913966	5.0	5.0	0.0	8.16	0.0	8.16	0.0	0.0	0.0	8.16	0.0	8.16	4.06	0.0	4.06	0.0	0.0	0.0	0.10010087447424251	0.0	0.10010087447424251	0.06	0.0	0.06	0.49939999999999996	0.0	0.49939999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9306.962299921277	5900.08	3713.9121339296557	23.427884742284473	19.42	16.024885954198435	5.0	5.0	0.0	5.78	0.0	13.94	0.04	0.0	0.04	5.78	0.0	13.94	3.08	0.0	7.14	0.0	0.0	0.0	0.0006011644458020928	0.0	0.10070203892004459	0.04	0.0	0.1	0.1396	0.0	0.639	0.14	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5383.491830788735	5125.04	3972.36396471839	11.88404153705949	3.72	24.188927491257928	5.0	5.0	0.0	2.52	0.0	16.46	0.04	0.0	0.08	2.52	0.0	16.46	1.24	0.0	8.38	0.0	0.0	0.0	0.0013150214664034183	0.0	0.102017060386448	0.02	0.0	0.12	0.0398	0.0	0.6788000000000001	0.04	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6921.329139767548	6146.6	4747.093104485937	14.770167099482128	25.78	13.179094590740055	5.0	5.0	0.0	3.04	0.0	19.5	0.06	0.0	0.14	3.04	0.0	19.5	1.84	0.0	10.22	0.0	0.0	0.0	0.001787724874137166	0.0	0.10380478526058519	0.06	0.0	0.18	0.27940000000000004	0.0	0.9582	0.02	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5342.473385519293	4554.08	5535.486490005229	10.444747512839264	3.92	19.703842103579326	5.0	5.0	0.0	1.48	0.0	20.98	0.04	0.0	0.18	1.48	0.0	20.98	0.42	0.0	10.64	0.0	0.0	0.0	0.0020891546475122046	0.0	0.10589393990809745	0.06	0.0	0.24	0.43939999999999996	0.0	1.3976000000000002	0.02	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10801.111023547284	13346.92	2989.6775135525136	21.182200821564866	22.96	17.926042925144188	5.0	5.0	0.0	7.24	0.0	28.22	0.9	0.0	1.08	7.24	0.0	28.22	3.9	0.0	14.54	0.0	0.0	0.0	0.002412274452590295	0.0	0.1083062143606877	0.08	0.0	0.32	0.47919999999999996	0.0	1.8767999999999996	0.04	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12768.789451302755	9264.26	6494.206964855271	18.09241527878729	14.04	21.97845820393148	5.0	5.0	0.0	5.2	0.0	33.42	0.04	0.0	1.12	5.2	0.0	33.42	2.84	0.0	17.38	0.0	0.0	0.0	0.0011884461554186325	0.0	0.10949466051610632	0.04	0.0	0.36	0.2396	0.0	2.116399999999999	0.06	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10783.559146141464	9495.28	7782.486110996734	16.368490477246393	14.18	24.166948681177864	5.0	5.0	0.0	2.74	0.0	36.16	0.02	0.0	1.14	2.74	0.0	36.16	1.4	0.0	18.78	0.0	0.0	0.0	0.0017380541252714078	0.0	0.11123271464137773	0.02	0.0	0.38	0.0998	0.0	2.2161999999999993	0.02	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11605.753651469586	8672.16	10716.079762466317	11.82593409680834	6.94	29.052882777986206	5.0	5.0	0.0	1.58	0.0	37.74	0.06	0.0	1.2	1.58	0.0	37.74	1.0	0.0	19.78	0.0	0.0	0.0	0.0022002701158224426	0.0	0.11343298475720019	0.04	0.0	0.42	0.1396	0.0	2.3557999999999995	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17981.67043636666	12753.36	15944.390198832974	9.991925011421994	7.22	31.82480778940821	5.0	5.0	0.0	1.64	0.0	39.38	0.02	0.0	1.22	1.64	0.0	39.38	1.04	0.0	20.82	0.0	0.0	0.0	0.0023676287250962245	0.0	0.11580061348229637	0.02	0.0	0.44	0.0398	0.0	2.395599999999999	0.12	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14834.673451379374	15900.24	14878.823650212355	11.957506412558109	6.64	37.14231420196631	5.0	5.0	0.0	1.94	0.0	41.32	0.1	0.0	1.32	1.94	0.0	41.32	0.86	0.0	21.68	0.0	0.0	0.0	0.00277217836713557	0.0	0.11857279184943194	0.06	0.0	0.5	0.3394	0.0	2.734999999999999	0.04	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16182.763491732034	16863.14	14198.447141944383	12.27502288151773	17.84	31.577337083484043	5.0	5.0	0.0	2.1	0.0	43.42	0.3	0.0	1.62	2.1	0.0	43.42	1.1	0.0	22.78	0.0	0.0	0.0	0.0033564519255382015	0.0	0.12192924377497016	0.04	0.0	0.54	0.3996	0.0	3.1346000000000003	0.06	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26892.53303606734	23973.04	17117.940178011737	15.605751567406008	22.78	24.40308865089004	5.0	5.0	0.0	4.08	0.0	47.5	0.3	0.0	1.92	4.08	0.0	47.5	2.1	0.0	24.88	0.0	0.0	0.0	0.0024070272109161083	0.0	0.12433627098588629	0.02	0.0	0.56	0.0398	0.0	3.1744	0.1	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28362.732437398237	27770.54	17710.132615409973	25.916663682980637	26.74	23.57975233387068	5.0	5.0	0.0	4.66	0.0	52.16	0.16	0.0	2.08	4.66	0.0	52.16	2.52	0.0	27.4	0.0	0.0	0.0	0.002405311813640878	0.0	0.12674158279952716	0.08	0.0	0.64	0.5392	0.0	3.7136000000000013	0.04	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18999.497090931683	16793.72	19915.909706341656	15.647671511886738	10.56	28.667423845757423	5.0	5.0	0.0	1.44	0.0	53.6	0.08	0.0	2.16	1.44	0.0	53.6	0.78	0.0	28.18	0.0	0.0	0.0	0.002593703671580613	0.0	0.12933528647110776	0.08	0.0	0.72	0.6392	0.0	4.352800000000001	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26667.188781689754	23274.94	23308.158488031404	15.459256816325128	9.04	35.08668066208255	5.0	5.0	0.0	1.88	0.0	55.48	0.06	0.0	2.22	1.88	0.0	55.48	1.06	0.0	29.24	0.0	0.0	0.0	0.0026893640622940745	0.0	0.13202465053340182	0.02	0.0	0.74	0.1998	0.0	4.552600000000001	0.1	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19696.09989213885	18958.54	24045.718380170245	8.488646585559172	4.56	39.0153272476417	5.0	5.0	0.0	1.04	0.0	56.52	0.06	0.0	2.28	1.04	0.0	56.52	0.5	0.0	29.74	0.0	0.0	0.0	0.003582322694394956	0.0	0.13560697322779677	0.04	0.0	0.78	0.2396	0.0	4.792200000000001	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24965.742572077812	20196.94	28814.520952248044	9.715616717531846	4.94	43.79094396517355	5.0	5.0	0.0	1.26	0.0	57.78	0.04	0.0	2.32	1.26	0.0	57.78	0.78	0.0	30.52	0.0	0.0	0.0	0.0037097106264144288	0.0	0.13931668385421114	0.02	0.0	0.8	0.1998	0.0	4.992000000000001	0.02	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27532.06556164794	24446.1	31900.486513895965	9.396869010064092	9.5	43.68781297523765	5.0	5.0	0.0	1.2	0.0	58.98	0.04	0.0	2.36	1.2	0.0	58.98	0.66	0.0	31.18	0.0	0.0	0.0	0.0037924163352432514	0.0	0.1431091001894544	0.06	0.0	0.86	0.11939999999999999	0.0	5.1114	0.04	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26092.630653053173	21307.38	36685.73716694914	16.866004038413518	10.98	49.57381701365116	5.0	5.0	0.0	0.92	0.0	59.9	0.06	0.0	2.42	0.92	0.0	59.9	0.4	0.0	31.58	0.0	0.0	0.0	0.004182456219212039	0.0	0.14729155640866648	0.12	0.0	0.98	0.8388000000000001	0.0	5.9502	0.06	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34367.35307637088	35402.22	35650.87024332004	10.823882832640457	10.84	49.557699846291634	5.0	5.0	0.0	1.48	0.0	61.38	0.12	0.0	2.54	1.48	0.0	61.38	0.7	0.0	32.28	0.0	0.0	0.0	0.004224050672326945	0.0	0.1515156070809934	0.06	0.0	1.04	0.3994	0.0	6.3496000000000015	0.06	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31890.058399722566	34938.12	32602.808643042594	10.036536723564762	18.42	41.17423656985639	5.0	5.0	0.0	1.82	0.0	63.2	0.3	0.0	2.84	1.82	0.0	63.2	1.06	0.0	33.34	0.0	0.0	0.0	0.0041090902330077955	0.0	0.15562469731400116	0.02	0.0	1.06	0.0998	0.0	6.449400000000002	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38452.957850811414	32610.42	38445.34649385401	9.805869153910049	15.22	35.76010572376646	5.0	5.0	0.0	1.84	0.0	65.04	0.12	0.0	2.96	1.84	0.0	65.04	1.02	0.0	34.36	0.0	0.0	0.0	0.0031447804834020656	0.0	0.15876947779740322	0.02	0.0	1.08	0.0398	0.0	6.4892	0.08	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
