Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
1656.55115732679	1380	276.5511573267899	20.152243850955614	5	15.152243850955616	5.0	5	0.0	7	0	7	0	0	0	7	0	7	4	0	4	0	0	0	0.1	0.0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2928.8359606655213	1750	1455.3871179923117	16.692628558907458	15	16.844872409863076	5.0	5	0.0	4	0	11	0	0	0	4	0	11	2	0	6	0	0	0	0.0007781512503836437	0.0	0.10077815125038364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3030.0531697341517	2825	1660.440287726463	11.794274028629857	16	12.63914643849293	5.0	5	0.0	3	0	14	0	0	0	3	0	14	1	0	7	0	0	0	0.0006020599913279624	0.0	0.10138021124171159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5963.187098710079	6805	818.6273864365421	13.718341675822856	0	26.357488114315785	5.0	5	0.0	3	0	17	0	0	0	3	0	17	2	0	9	0	0	0	0.0012041199826559248	0	0.1025843312243675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2400.159771754636	0	3218.787158191178	4.6156918687589155	0	30.973179983074694	5.0	5	0.0	0	0	17	0	0	0	0	0	17	0	0	9	0	0	0	0.002778151250383644	0	0.10536248247475115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3782.1023382745143	6579	421.88949646569273	20.2381566705948	31	20.2113366536695	5.0	5	0.0	4	0	21	1	0	1	4	0	21	2	0	11	0	0	0	0.0019030899869919436	0.0	0.10726557246174309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6987.248321899121	5904	1505.137818364814	16.663365619196792	20	16.87470227286629	5.0	5	0.0	8	0	29	0	0	1	8	0	29	4	0	15	0	0	0	0.0003010299956639812	0.0	0.10756660245740707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9664.38513994593	10007	1162.522958310745	20.71272888475588	22	15.587431157622172	5.0	5	0.0	4	0	33	0	0	1	4	0	33	2	0	17	0	0	0	0.002	0.0	0.10956660245740708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8828.610976718137	4389	5602.133935028881	9.790312579307482	0	25.377743736929656	5.0	5	0.0	1	0	34	0	0	1	1	0	34	1	0	18	0	0	0	0	0.0	0.10956660245740708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11180.247737482257	7699	9083.381672511137	8.582992680007793	0	33.96073641693745	5.0	5	0.0	1	0	35	0	0	1	1	0	35	1	0	19	0	0	0	0.0018061799739838872	0.0	0.11137278243139098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
