Soft Currency Gain	Soft Currency Spend	Soft Currency Balance	Hard Currency Gain	Hard Currency Spend	Hard Currency Balance	Heart Gain	Heart Spend	Heart Balance	Food Gain	Food Spend	Food Balance	Worlds Gain	Worlds Spend	Worlds Balance	Upgrade Gain	Upgrade Spend	Upgrade Balance	Level Gain	Level Spend	Level Balance	Videos Gain	Videos Spend	Videos Balance	Skill level Gain	Skill level Spend	Skill level Balance	IAPs Gain	IAPs Spend	IAPs Balance	IAP spend $ Gain	IAP spend $ Spend	IAP spend $ Balance	Additional SC Gain	Additional SC Spend	Additional SC Balance	Get Heart Video Gain	Get Heart Video Spend	Get Heart Video Balance	Double Reward Videos Gain	Double Reward Videos Spend	Double Reward Videos Balance	Gacha Wheel Videos Gain	Gacha Wheel Videos Spend	Gacha Wheel Videos Balance	Get Gems Videos Gain	Get Gems Videos Spend	Get Gems Videos Balance
1663.3506337384165	1380	283.3506337384164	20.214195831446567	5	15.214195831446569	5.0	5	0.0	7	0	7	0	0	0	7	0	7	4	0	4	0	0	0	0.10060205999132796	0.0	0.10060205999132796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2944.295381405236	1750	1477.6460151436527	16.761270663919277	31	0.9754664953658465	5.0	5	0.0	5	0	12	0	0	0	5	0	12	2	0	6	0	0	0	0.0018573324964312687	0.0	0.10245939248775923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3033.112474437628	2825	1685.7584895812806	11.80327198364008	0	12.778738479005925	5.0	5	0.0	2	0	14	0	0	0	2	0	14	1	0	7	0	0	0	0.0006020599913279624	0	0.10306145247908718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6022.509738406135	6805	903.268227987415	13.644655005171863	0	26.42339348417779	5.0	5	0.0	3	0	17	0	0	0	3	0	17	2	0	9	0	0	0	0.0023802112417116057	0.0	0.10544166372079879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2402.0884450784592	0	3305.3566730658745	4.619400855920115	0	31.0427943400979	5.0	5	0.0	0	0	17	0	0	0	0	0	17	0	0	9	0	0	0	0.004464787519645937	0	0.10990645124044471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4434.062656486158	6908	831.4193295520317	22.329323098417756	51	2.3721174385156534	5.0	5	0.0	7	0	24	1	0	1	7	0	24	3	0	12	0	0	0	0.00199563519459755	0	0.11190208643504225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6802.339734522398	5575	2058.7590640744293	14.73824433183772	0	17.110361770353375	5.0	5	0.0	5	0	29	0	0	1	5	0	29	3	0	15	0	0	0	0.0019242792860618817	0.0	0.11382636572110413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9976.00191127379	10007	2027.7609753482193	20.71601994886942	22	15.826381719222791	5.0	5	0.0	4	0	33	0	0	1	4	0	33	2	0	17	0	0	0	0.003839603729470837	0	0.11766596945057495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9040.178486372552	4389	6678.939461720772	9.791571028875113	0	25.617952748097906	5.0	5	0.0	1	0	34	0	0	1	1	0	34	1	0	18	0	0	0	0.0019084850188786496	0.0	0.11957445446945358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11297.36114447939	7699	10277.300606200162	8.499526399287483	0	34.117479147385396	5.0	5	0.0	1	0	35	0	0	1	1	0	35	1	0	19	0	0	0	0.001380211241711606	0	0.12095466571116517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6303.077894736843	9449	7131.378500937005	4.7037894736842105	0	38.82126862106961	5.0	5	0.0	1	0	36	0	0	1	1	0	36	0	0	19	0	0	0	0.003096910013008057	0	0.12405157572417325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
