Soft Currency	Hard Currency	Heart	Food	Worlds	Upgrade	Level	Videos	IAPs	IAP spend $	Additional SC	Get Heart Video	Double Reward Videos	Gacha Wheel Videos	Get Gems Videos
410.0	9.0	0.0	10	0	10	5	0	0	0	0	0	0	0	0
425.0	9.0	0.0	14	0	14	7	0	0	0	0	0	0	0	0
2540.0	19.0	0.0	15	0	15	8	0	0	0	0	0	0	0	0
2090.0	28.0	0.0	17	0	17	9	0	0	0	0	0	0	0	0
211.0	8.0	0.0	21	1	21	11	0	0	0	0	0	0	0	0
1007.0	15.0	0.0	29	1	29	15	0	0	0	0	0	0	0	0
880.0	14.0	0.0	33	1	33	17	0	0	0	0	0	0	0	0
5511.0	24.0	0.0	34	1	34	18	0	0	0	0	0	0	0	0
9532.0	33.0	0.0	35	1	35	19	0	0	0	0	0	0	0	0
6783.0	38.0	0.0	36	1	36	19	0	0	0	0	0	0	0	0
525.0	9.0	0.0	40	2	40	21	0	0	0	0	0	0	0	0
1969.0	3.0	0.0	46	2	46	24	0	0	0	0	0	0	0	0
4161.0	12.0	0.0	48	2	48	25	0	0	0	0	0	0	0	0
11523.0	20.0	0.0	51	2	51	27	0	0	0	0	0	0	0	0
8074.0	25.0	0.0	52	2	52	27	0	0	0	0	0	0	0	0
17245.0	35.0	0.0	53	2	53	28	0	0	0	0	0	0	0	0
21286.0	45.0	0.0	54	2	54	29	0	0	0	0	0	0	0	0
7177.0	50.0	0.0	55	2	55	29	0	0	0	0	0	0	0	0
24577.0	55.0	0.0	55	2	55	29	0	0	0	0	0	0	0	0
3608.0	9.0	0.0	58	3	58	31	0	0	0	0	0	0	0	0
2239.0	14.0	0.0	59	3	59	31	0	0	0	0	0	0	0	0
5630.0	2.0	0.0	61	3	61	32	0	0	0	0	0	0	0	0
11111.0	11.0	0.0	62	3	62	33	0	0	0	0	0	0	0	0
12183.0	20.0	0.0	64	3	64	34	0	0	0	0	0	0	0	0
32634.0	10.0	0.0	66	3	66	35	0	0	0	0	0	0	0	0
20035.0	15.0	0.0	67	3	67	35	0	0	0	0	0	0	0	0
28056.0	24.0	0.0	68	3	68	36	0	0	0	0	0	0	0	0
35797.0	26.0	0.0	70	3	70	37	0	0	0	0	0	0	0	0
65697.0	31.0	0.0	70	3	70	37	0	0	0	0	0	0	0	0
26888.0	36.0	0.0	71	3	71	37	0	0	0	0	0	0	0	0
56788.0	41.0	0.0	71	3	71	37	0	0	0	0	0	0	0	0
52139.0	51.0	0.0	72	3	72	38	0	0	0	0	0	0	0	0
89139.0	56.0	0.0	72	3	72	38	0	0	0	0	0	0	0	0
55160.0	65.0	0.0	73	3	73	39	0	0	0	0	0	0	0	0
100460.0	70.0	0.0	73	3	73	39	0	0	0	0	0	0	0	0
145760.0	75.0	0.0	73	3	73	39	0	0	0	0	0	0	0	0
41191.0	80.0	0.0	74	3	74	39	0	0	0	0	0	0	0	0
86491.0	85.0	0.0	74	3	74	39	0	0	0	0	0	0	0	0
131791.0	90.0	0.0	74	3	74	39	0	0	0	0	0	0	0	0
48342.0	8.0	0.0	76	4	76	40	0	0	0	0	0	0	0	0
13842.0	14.0	0.0	77	4	77	41	0	0	0	0	0	0	0	0
24842.0	19.0	0.0	77	4	77	41	0	0	0	0	0	0	0	0
35842.0	24.0	0.0	77	4	77	41	0	0	0	0	0	0	0	0
12443.0	29.0	0.0	78	4	78	41	0	0	0	0	0	0	0	0
23443.0	34.0	0.0	78	4	78	41	0	0	0	0	0	0	0	0
34443.0	39.0	0.0	78	4	78	41	0	0	0	0	0	0	0	0
29144.0	5.0	0.0	80	4	80	42	0	0	0	0	0	0	0	0
47244.0	10.0	0.0	80	4	80	42	0	0	0	0	0	0	0	0
34045.0	19.0	0.0	81	4	81	43	0	0	0	0	0	0	0	0
33826.0	29.0	0.0	82	4	82	44	0	0	0	0	0	0	0	0
70226.0	34.0	0.0	82	4	82	44	0	0	0	0	0	0	0	0
42417.0	39.0	0.0	83	4	83	44	0	0	0	0	0	0	0	0
55688.0	7.0	0.0	85	4	85	45	0	0	0	0	0	0	0	0
103788.0	12.0	0.0	85	4	85	45	0	0	0	0	0	0	0	0
151888.0	17.0	0.0	85	4	85	45	0	0	0	0	0	0	0	0
18249.0	22.0	0.0	86	4	86	45	0	0	0	0	0	0	0	0
66349.0	27.0	0.0	86	4	86	45	0	0	0	0	0	0	0	0
114449.0	32.0	0.0	86	4	86	45	0	0	0	0	0	0	0	0
162549.0	37.0	0.0	86	4	86	45	0	0	0	0	0	0	0	0
85170.0	46.0	0.0	87	4	87	46	0	0	0	0	0	0	0	0
146870.0	51.0	0.0	87	4	87	46	0	0	0	0	0	0	0	0
208570.0	56.0	0.0	87	4	87	46	0	0	0	0	0	0	0	0
123831.0	33.0	0.0	89	4	89	47	0	0	0	0	0	0	0	0
201431.0	38.0	0.0	89	4	89	47	0	0	0	0	0	0	0	0
279031.0	43.0	0.0	89	4	89	47	0	0	0	0	0	0	0	0
356631.0	48.0	0.0	89	4	89	47	0	0	0	0	0	0	0	0
23142.0	53.0	0.0	90	4	90	47	0	0	0	0	0	0	0	0
100742.0	58.0	0.0	90	4	90	47	0	0	0	0	0	0	0	0
178342.0	63.0	0.0	90	4	90	47	0	0	0	0	0	0	0	0
255942.0	68.0	0.0	90	4	90	47	0	0	0	0	0	0	0	0
333542.0	73.0	0.0	90	4	90	47	0	0	0	0	0	0	0	0
411142.0	78.0	0.0	90	4	90	47	0	0	0	0	0	0	0	0
173653.0	88.0	0.0	91	4	91	48	0	0	0	0	0	0	0	0
269653.0	93.0	0.0	91	4	91	48	0	0	0	0	0	0	0	0
365653.0	98.0	0.0	91	4	91	48	0	0	0	0	0	0	0	0
461653.0	103.0	0.0	91	4	91	48	0	0	0	0	0	0	0	0
557653.0	108.0	0.0	91	4	91	48	0	0	0	0	0	0	0	0
119534.0	117.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
236934.0	122.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
354334.0	127.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
471734.0	132.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
589134.0	137.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
706534.0	142.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
823934.0	147.0	0.0	92	4	92	49	0	0	0	0	0	0	0	0
24575.0	152.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
141975.0	157.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
259375.0	162.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
376775.0	167.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
494175.0	172.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
611575.0	177.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
728975.0	182.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
846375.0	187.0	0.0	93	4	93	49	0	0	0	0	0	0	0	0
117456.0	20.0	2.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	7.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	12.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	17.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	22.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	27.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	32.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	37.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	42.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	47.0	95	5	95	50	0	0	0	0	0	0	0	0
117456.0	20.0	52.0	95	5	95	50	0	0	0	0	0	0	0	0
